,Unnamed: 0,producto,precio,precio_rel,link,oferta,Q,precio_medida,medida,Q_medida,precio_medida1,precio_medida2
28,28,DIA DULCE NOEL turron imperial de almendras sin azucar estuche 150 gr,2.19,14.60/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0, 150 gr,14.60,Kg,0.15,14.60,14.6
29,29,DIA DULCE NOEL turron de crema de almendras sin azucar estuche 150 gr,2.19,14.60/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0, 150 gr,14.60,Kg,0.15,14.60,14.6
30,30,DIA DULCE NOEL turron crujiente blanco con galletas estuche 200 gr,1.49,7.45/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0, 200 gr,7.45,Kg,0.2,7.45,7.45
31,31,DIA DULCE NOEL turron con grajeas de chocolate estuche 100 gr,0.99,9.90/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0, 100 gr,9.90,Kg,0.1,9.90,9.9
32,32,NESTLE turron jungly de chocolate estuche 232 gr,2.99,12.89/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0, 232 gr,12.89,Kg,0.232,12.89,12.89
33,33,IL VECCHIO panettone lata 750 gr,6.99,9.32/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0, 750 gr,9.32,Kg,0.75,9.32,9.32
34,34,NESTLE chocolate extrafino Reyes Mayos lata 60 gr (modelo aleatorio),2.69,44.83/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0, 60 gr (modelo aleatorio),44.83,Kg,0.06,44.83,44.83
35,35,NESTLE lote chocolate extrafino y peluche caja 260 gr (modelo aleatorio),7.49,28.81/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0, 260 gr (modelo aleatorio),28.81,Kg,0.26,28.81,28.81
36,36,KINDER casita mini mix navidad caja 76 gr (modelo aleatorio) ,2.75,36.18/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0, 76 gr (modelo aleatorio) ,36.18,Kg,0.076,36.18,36.18
37,37,DIA DULCE NOEL polvorones sin azucar a granel unidad (35 gr peso aprox.),0.14,3.95/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0,,3.95,Kg,0.035,3.95,3.95
38,38,DIA DULCE NOEL alfajor de almendra y avellana a granel unidad (24 gr peso aprox.),0.31,12.90/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0,,12.90,Kg,0.024,12.90,12.9
39,39,DIA DULCE NOEL turron con dulce de leche estuche 150 gr,1.59,10.60/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0, 150 gr,10.60,Kg,0.15,10.60,10.6
40,40,NICKELODEON mix de chocolate adorno de Navidad 20 gr (modelo aleatorio),1.99,99.50/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0, 20 gr (modelo aleatorio),99.50,Kg,0.02,99.50,99.5
41,41,NICKELODEON mix de caramelos arbol de Navidad lata 80 gr (modelo aleatorio) ,3.99,49.88/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0, 80 gr (modelo aleatorio) ,49.88,Kg,0.08,49.88,49.88
42,42,NICKELODEON mix de caramelos lata redonda 90 gr (modelo aleatorio),4.99,62.38/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0, 90 gr (modelo aleatorio),62.38,Kg,0.08,62.38,62.38
43,43,NICKELODEON mix de caramelos calcetin de Navidad lata 80 gr (modelo aleatorio),3.99,49.88/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0, 80 gr (modelo aleatorio),49.88,Kg,0.08,49.88,49.88
44,44,DIA DULCE NOEL roscon de nata caja 550 gr,6.99,12.71/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0, 550 gr,12.71,Kg,0.55,12.71,12.71
45,45,EL MOLINO DE DIA mini panettone clasico bolsa 100 gr,0.99,9.90/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0, 100 gr,9.90,Kg,0.1,9.90,9.9
46,46,MATA hojaldrinas bolsa 400 gr,3.15,7.88/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0, 400 gr,7.88,Kg,0.4,7.88,7.88
47,47,EL LOBO turron de alicante estuche 250 gr,3.49,17.45/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0, 250 gr,17.45,Kg,0.2,17.45,17.45
48,48,LACASA turron guirlache de aragon estuche 240 gr,5.49,22.88/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0, 240 gr,22.88,Kg,0.24,22.88,22.88
49,49,DIA DULCE NOEL panettone de chocolate caja 500 gr,2.99,5.98/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0, 500 gr,5.98,Kg,0.5,5.98,5.98
50,50,LA ESTEPEÃA surtido navidad caja 850 gr,7.3,8.59/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0, 850 gr,8.59,Kg,0.85,8.59,8.59
51,51,DIA DULCE NOEL figuritas de mazapan caja 200 gr,1.85,9.25/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0, 200 gr,9.25,Kg,0.2,9.25,9.25
52,52,DIA DULCE NOEL panettone clasico con frutas caja 500 gr,2.99,5.98/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0, 500 gr,5.98,Kg,0.5,5.98,5.98
53,53,EL LOBO turron de Jijona estuche 250 gr,3.49,17.45/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0, 250 gr,17.45,Kg,0.2,17.45,17.45
54,54,EL LOBO torta turron de alicante estuche 200 gr,3.19,21.27/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0, 200 gr,21.27,Kg,0.15,21.27,21.27
55,55,EL LOBO turron de yema tostada estuche 200 gr,3.49,17.45/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0, 200 gr,17.45,Kg,0.2,17.45,17.45
56,56,SUCHARD turron de chocolate estuche 260 gr ,3.49,13.42/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0, 260 gr ,13.42,Kg,0.26,13.42,13.42
57,57,SUCHARD turron de chocolate oreo blanco estuche 260 gr,3.49,13.42/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0, 260 gr,13.42,Kg,0.26,13.42,13.42
58,58,SUCHARD turron de chocolate con oreo estuche 260 gr,3.49,13.42/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0, 260 gr,13.42,Kg,0.26,13.42,13.42
59,59,RIEGELEIN figura de chocolate con leche Reyes Magos 1 ud 60 gr  (modelo aleatorio),1.0,16.67/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0, 1 ud 60 gr  (modelo aleatorio),16.67,Kg,0.06,16.67,16.67
60,60,DIA DULCE NOEL pastas surtidas lata 400 gr (modelo aleatorio),4.49,11.23/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0, 400 gr (modelo aleatorio),11.23,Kg,0.4,11.23,11.23
61,61,LA HORNADA DIA pandoro con chocolate bolsa 750 gr,3.99,5.32/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0, 750 gr,5.32,Kg,0.75,5.32,5.32
62,62,MIDEL baston navidad de caramelo 40 gr ,1.0,25.00/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0, 40 gr ,25.00,Kg,0.04,25.00,25.0
63,63,LA HORNADA DIA panettone clasico bolsa 900 gr,3.99,4.43/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0, 900 gr,4.43,Kg,0.901,4.43,4.43
64,64,LA HORNADA DIA pandoro clasico bolsa 750 gr,3.99,5.32/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0, 750 gr,5.32,Kg,0.75,5.32,5.32
65,65,LA HORNADA DIA mini panettone de chocolate bolsa 100 gr,0.99,9.90/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0, 100 gr,9.90,Kg,0.1,9.90,9.9
66,66,SUCHARD turron clasico de chocolate lata 2 uds 520 gr,7.49,14.40/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0, 2 uds 520 gr,14.40,Kg,0.52,14.40,14.4
67,67,DIA DULCE NOEL turron suprema Alicante estuche 150gr,1.89,12.60/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0,,12.60,Kg,0.15,12.60,12.6
68,68,EL MOLINO DE DIA empanada de atun 550 gr,3.1,5.64/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=1&disp=,0, 550 gr,5.64,Kg,0.55,5.64,5.64
69,69,Ensalada mixta bandeja 400 gr ,1.85,4.63/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=1&disp=,0, 400 gr ,4.63,Kg,0.4,4.63,4.63
70,70,DIA AL PUNTO pizza de pollo envase 410 gr,2.25,5.49/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=1&disp=,0, 410 gr,5.49,Kg,0.41,5.49,5.49
71,71,Crema de calabaza tarrina 500 ml ,2.05,4.10/l,https://www.dia.es/compra-online/platos-preparados/cf?page=1&disp=,0, 500 ml ,4.10,l,0.5,4.10,4.1
72,72,Crema de verduras tarrina 500 ml ,2.05,4.10/l,https://www.dia.es/compra-online/platos-preparados/cf?page=1&disp=,0, 500 ml ,4.10,l,0.5,4.10,4.1
73,73,VALDETERRA migas con chorizo envase 275 gr,1.69,6.15/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=1&disp=,0, 275 gr,6.15,Kg,0.275,6.15,6.15
74,74,"CAMPOFRÃO pizza jamon y queso con salsa cheddar envase 360 gr
",2.39,6.64/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=1&disp=,0, 360 gr,6.64,Kg,0.36,6.64,6.64
75,75,DIA AL PUNTO mini tortilla de patatas con cebolla envase 220 gr,1.05,4.77/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=1&disp=,0, 220 gr,4.77,Kg,0.22,4.77,4.77
76,76,EL MOLINO DE DIA empanada de pollo 120 gr,0.65,5.42/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=1&disp=,0, 120 gr,5.42,Kg,0.12,5.42,5.42
77,77,Pimientos asados a la lena en tiras bandeja 350 gr ,2.35,6.71/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=1&disp=,0, 350 gr ,6.71,Kg,0.35,6.71,6.71
78,78,EL MOLINO DE DIA empanada de bacalao 550 gr ,3.3,6.00/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=1&disp=,0, 550 gr ,6.00,Kg,0.55,6.00,6.0
79,79,CARRETILLA ternera a la jardinera bandeja 300 gr,3.25,10.83/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=1&disp=,0, 300 gr,10.83,Kg,0.3,10.83,10.83
80,80,PALACIOS hamburguesa con queso pack 2 unidades 125 gr ,2.35,9.40/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=1&disp=,0, 2 unidades 125 gr ,9.40,Kg,0.25,9.40,9.4
81,81,EL MOLINO DE DIA empanada de pollo 550 gr,3.1,5.64/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=1&disp=,0, 550 gr,5.64,Kg,0.55,5.64,5.64
82,82,PIERRE MARTINET hummus clasico tarrina 200 gr ,1.69,8.45/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=1&disp=,0, 200 gr ,8.45,Kg,0.2,8.45,8.45
83,83,DIA albondigas con tomate tarrina 200 gr ,2.85,11.40/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=1&disp=,0, 200 gr ,11.40,Kg,0.25,11.40,11.4
