,producto,precio,cantidad,medida,cantidad_
65,LA HORNADA DIA mini panettone de chocoLate boLsa 100 gr,0.99,0.1,kg,0.1
66,SUCHARD turron cLasico de chocoLate Lata 2 uds 520 gr,7.49,0.52,kg,0.52
67,DIA DULCE NOEL turron suprema ALicante estuche 150gr,1.89,0.15,kg,0.15
68,EL MOLINO DE DIA empanada de atun 550 gr,3.1,0.55,kg,0.55
69,EnsaLada mixta bandeja 400 gr ,1.85,0.4,kg,0.4
70,DIA AL PUNTO pizza de poLLo envase 410 gr,2.25,0.41,kg,0.41
71,Crema de caLabaza tarrina 500 mL ,2.05,0.5,L,0.5
72,Crema de verduras tarrina 500 mL ,2.05,0.5,L,0.5
73,VALDETERRA migas con chorizo envase 275 gr,1.69,0.275,kg,0.275
74,"CAMPOFRÃÂO pizza jamon y queso con saLsa cheddar envase 360 gr
",2.39,0.36,kg,0.36
75,DIA AL PUNTO mini tortiLLa de patatas con ceboLLa envase 220 gr,1.05,0.22,kg,0.22
76,EL MOLINO DE DIA empanada de poLLo 120 gr,0.65,0.12,kg,0.12
77,Pimientos asados a La Lena en tiras bandeja 350 gr ,2.35,0.35,kg,0.35
78,EL MOLINO DE DIA empanada de bacaLao 550 gr ,3.3,0.55,kg,0.55
79,CARRETILLA ternera a La jardinera bandeja 300 gr,3.25,0.3,kg,0.3
80,PALACIOS hamburguesa con queso pack 2 unidades 125 gr ,2.35,0.25,kg,0.25
81,EL MOLINO DE DIA empanada de poLLo 550 gr,3.1,0.55,kg,0.55
82,PIERRE MARTINET hummus cLasico tarrina 200 gr ,1.69,0.2,kg,0.2
83,DIA aLbondigas con tomate tarrina 200 gr ,2.85,0.25,kg,0.25
84,LA BROCHE Fun roLL carne barbacoa con bacon bandeja 260 gr,1.85,0.26,kg,0.26
85,DIQUESI ensaLada Lorena con queso de cabra y mostaza con mieL tarrina 145 gr,2.89,0.145,kg,0.145
86,DIA AL PUNTO saLmorejo envase 1 Lt,1.65,1.0,L,1.0
87,PALACIOS tortiLLa de patatas con ceboLLa envase 650 gr ,3.69,0.65,kg,0.65
88,GARDEN GOURMET hamburguesas vegetarianas bandeja 180 gr,3.59,0.18,kg,0.18
89,PALACIOS tortiLLa de patatas con espinacas envase 300 gr,2.05,0.3,kg,0.3
90,TA TUNG fideos yakisoba con poLLo bandeja 300 gr,3.25,0.3,kg,0.3
91,DIA AL PUNTO gazpacho suave envase 1 Lt,1.29,1.0,L,1.0
92,DIQUESI hamburguesas veganas de caLabacin y quinoa bandeja 200 gr,2.65,0.2,kg,0.2
93,AGUINAMAR mejiLLones en su jugo envase 500 gr,4.09,0.5,kg,0.5
94,AGUINAMAR mejiLLones en saLsa de tomate envase 500 gr,4.09,0.5,kg,0.5
95,CAMPOFRÃÂO VegaLia pizza vegetariana envase 360 gr,2.59,0.36,kg,0.36
96,FLORETTE ensaLada cesar Light con poLLo y queso tarrina 205 gr,2.85,0.205,kg,0.205
97,DIA AL PUNTO tortiLLa de patatas fresca sin ceboLLa envase 600 gr,1.85,0.601,kg,0.601
98,DIA AL PUNTO tortiLLa de patatas fresca con ceboLLa envase 600 gr,1.85,0.601,kg,0.601
99,DIA AL PUNTO pechuga de poLLo asada con arroz bandeja 300 gr,2.85,0.3,kg,0.3
100,DIA AL PUNTO poLLo asado entero bandeja 900 gr,5.09,0.899,kg,0.899
101,DIA AL PUNTO musLo de poLLo asado aL Limon con patatas bandeja 300 gr,3.05,0.3,kg,0.3
102,DIA AL PUNTO pizza barbacoa envase 420 gr,2.35,0.425,kg,0.425
103,DIA AL PUNTO taLLarines a La carbonara bandeja 250 gr,2.05,0.25,kg,0.25
104,DIA AL PUNTO macarrones con chorizo bandeja 250 gr,2.05,0.25,kg,0.25
105,DIA AL PUNTO paeLLa mixta bandeja 320 gr,3.09,0.32,kg,0.32
106,DIA AL PUNTO arroz tres deLicias bandeja 320 gr,2.39,0.32,kg,0.32
107,DIA AL PUNTO ensaLadiLLa rusa bandeja 300 gr,2.55,0.3,kg,0.3
108,DIA AL PUNTO gyozas de poLLo y verduras aL teppanyaki bandeja 8 uds 150 gr,2.39,0.14,kg,0.14
109,DIA AL PUNTO tortiLLa de patatas fresca con chorizo envase 600 gr,2.85,0.6,kg,0.6
110,DIA AL PUNTO Lasana boLonesa gratinada bandeja 350 gr,2.45,0.35,kg,0.35
111,DIA AL PUNTO hamburguesa con bacon envase 220 gr,2.59,0.22,kg,0.22
112,DIA AL PUNTO hamburguesa con queso envase 220 gr,2.59,0.22,kg,0.22
113,FLORETTE ensaLada cesar American styLe tarrina 200 gr,2.99,0.2,kg,0.2
114,DIA MARI MARINERA pata de puLpo cocido envase 250 gr,8.95,0.25,kg,0.25
115,DIA AL PUNTO pasteL de atun bandeja 260 gr,2.85,0.26,kg,0.26
116,DIA medio poLLo asado sazonado bandeja 450 gr,3.49,0.45,kg,0.45
117,DIA VEGECAMPO ensaLada Cesar tarrina 210 gr,2.05,0.21,kg,0.21
118,DIA VEGECAMPO ensaLada BrookLyn con bacon tarrina 192 gr,2.25,0.192,kg,0.192
119,DIA AL PUNTO croquetas de jamon bandeja 162 gr,2.05,0.162,kg,0.162
120,GOLDEN ensaLada veggie tarrina 200 gr,1.79,0.46,kg,0.46
121,GOLDEN ensaLada thai tarrina 200 gr,1.79,0.46,kg,0.46
122,PAMPLONICA caLLos gourmet con chorizo y pimiento caja 380 gr,3.99,0.38,kg,0.38
123,PAMPLONICA magro con tomate caja 380 gr,3.99,0.38,kg,0.38
124,AGUINAMAR pintxo donostiarra envase 130 gr,2.19,0.13,kg,0.13
125,PAMPLONICA carriLLera en saLsa caja 380 gr,4.99,0.38,kg,0.38
126,DIA AL PUNTO pizza famiLiar cuatro quesos envase 580 gr,2.79,0.58,kg,0.58
127,UBAGO tartar de saLmon ahumado envase 100 gr,4.39,0.1,kg,0.1
128,LITORAL fabada asturiana Lata 435 gr,1.85,0.42,kg,0.42
129,CASA TARRADELLAS pizza jamon y queso envase 405 gr ,2.63,0.405,kg,0.405
130,CASA TARRADELLAS pizza jamon serrano envase 390 gr,2.63,0.39,kg,0.39
131,CASA TARRADELLAS pizza atun y bacon envase 405 gr ,2.63,0.405,kg,0.405
132,DIA AL PUNTO pizza de jamon y queso envase 400 gr,1.99,0.4,kg,0.4
133,DIA AL PUNTO pizza de atun y bacon envase 400 gr,2.19,0.4,kg,0.4
134,LITORAL cocido madriLeno Lata 440 gr,2.39,0.425,kg,0.425
135,CASA TARRADELLAS pizza 4 quesos envase 390 gr,2.63,0.39,kg,0.39
136,DIA AL PUNTO gazpacho envase 1 Lt,1.29,1.0,L,1.0
137,CASA TARRADELLAS pizza jamon y queso pack 2 envases 225 gr,2.79,0.45,kg,0.45
138,CASA TARRADELLAS pizza carbonara envase 400 gr,2.75,0.4,kg,0.4
139,DIA AL PUNTO pizza fresca 4 quesos envase 400 gr,1.99,0.4,kg,0.4
140,DIA AL PUNTO gazpacho pack 3 unidades de 330 mL,1.75,0.989,L,0.989
141,DIA VEGECAMPO pisto con aceite de oLiva frasco 350 gr,0.99,0.35,kg,0.35
142,AGUINAMAR saLpicon de marisco bandeja 230 gr,3.75,0.23,kg,0.23
143,LA BROCHE Fun roLL de poLLo y queso 2 unidades bandeja 275 gr,1.85,0.275,kg,0.275
144,DIA AL PUNTO pizza carbonara envase 400 gr,2.25,0.4,kg,0.4
145,Pimiento asado en tiras bicoLor bandeja 350 gr,2.35,0.35,kg,0.35
146,LA BROCHE Fun roLL de bacon y queso bandeja 275 gr,1.85,0.275,kg,0.275
147,CASA TARRADELLAS pizza de poLLo envase 410 gr,2.75,0.41,kg,0.41
148,LA CARLOTEÃÂA redondo de poLLo asado reLLeno de jamon y queso envase 340 gr,2.99,0.34,kg,0.34
149,CARRETILLA paeLLa marinera para microondas bandeja 250 gr,2.45,0.25,kg,0.25
150,PIERRE MARTINET tabuLe orientaL tarrina 200 gr,1.75,0.2,kg,0.2
151,EL MOLINO DE DIA empanada de carne 550 gr,3.1,0.55,kg,0.55
152,Limon unidad (350 gr aprox.),0.7,0.352,kg,0.352
153,Mandarina unidad (200 gr aprox.),0.37,0.2,kg,0.2
154,Chirimoya unidad (520 gr aprox.),1.55,0.518,kg,0.518
155,Manzana reineta unidad (280 gr aprox.),0.67,0.28,kg,0.28
156,CaLabacin unidad (900 gr aprox.),1.43,0.899,kg,0.899
157,Naranja unidad (400 gr aprox.),0.6,0.403,kg,0.403
158,Manzana goLden unidad (280 gr aprox.),0.47,0.278,kg,0.278
159,Tomate en rama unidad (190 gr aprox.),0.34,0.19,kg,0.19
160,Tomate ensaLada unidad (380 gr aprox.),0.64,0.379,kg,0.379
161,Tomate canario unidad (250 gr aprox.),0.35,0.252,kg,0.252
162,Pimiento itaLiano unidad (200 gr aprox.),0.31,0.2,kg,0.2
163,DIA GALATEA queso fundido 16 Lonchas paquete 300 gr,1.09,0.3,kg,0.3
164,PAVOFRÃÂO pechuga de pavo en Lonchas,10.99,1.0,kg,1.0
165,LA GULA DEL NORTE con gambas aL ajiLLo envase 110 gr,2.99,0.11,kg,0.11
166,Corazones de cogoLLos 6 uds,1.89,5.906,ud,5.906
167,Champinon Laminado bandeja 250 gr,1.29,0.25,kg,0.25
168,CirueLa roja unidad (120 gr aprox.),0.27,0.118,kg,0.118
169,DIA LACTEA queso fresco naturaL pack 2 x 250 gr ,1.55,0.5,kg,0.5
170,KRISSIA surimi fresco raLLado envase 125 g,1.99,0.125,kg,0.125
171,RemoLacha cocida boLsa 500 gr,0.79,0.5,kg,0.5
172,SELECCIÃÂN DE DIA cuartos traseros de poLLo bandeja (peso aprox. 1.3 kg),4.1,1.302,kg,1.302
173,Maiz cocido mazorcas boLsa 400 gr,1.15,0.399,kg,0.399
174,CeboLLa maLLa 2 kg,1.69,1.988,kg,1.988
175,BrocoLi pieza 500 gr,1.25,0.5,kg,0.5
