,producto,precio,cantidad,medida,cantidad_
1613,Masa maxi pizza Carrefour 385 g.,2.1,0.385,kg,0.385
1614,Langostinos crudos 800 g.,6.45,0.8,kg,0.8
1615,Ensalada New Yorker Carrefour 210 g,1.99,0.21,kg,0.21
1616,Zanahoriamanojo de 750 g,1.39,0.751,kg,0.751
1617,Queso fundido Light porciones 16 ud. Carrefour 250 g.,1.3,0.25,kg,0.25
1618,Queso fundido en porciones La Vaca Que Rie sin gluten 375 g.,3.22,0.375,kg,0.375
1619,Flautas de pavo. pollo y queso Mesana 280 g,1.6,0.28,kg,0.28
1620,Pomelo rojo malla 1.5 kg,2.69,1.503,kg,1.503
1621,Corazon de escarola Carrefour 150 g,1.15,0.15,kg,0.15
1622,Salchichas cocidas y ahumadas estilo Viena Carrefour 200 g.,0.57,0.2,kg,0.2
1623,Media gallina Nutrave 600 g aprox,2.34,0.6,kg,0.6
1624,Lasana bolonesa Carrefour 350 g,2.99,0.35,kg,0.35
1625,Calabaza ecologica a granel 1 Kg aprox,1.99,1.0,kg,1.0
1626,Pate a las finas hierbas Classic Carrefour sin gluten y sin lactosa 160 g.,0.87,0.16,kg,0.16
1627,Wraps tortillas de trigo Carrefour Sensation sin aceite de palma 6 ud.,1.35,0.37,kg,0.37
1628,Crema de queso semicurado President 125 g.,1.58,0.125,kg,0.125
1629,Lomo de cebo iberico en lonchas Carrefour sin gluten 100 g.,3.35,0.1,kg,0.1
1630,Sobaos mini Classic' Carrefour 340 g.,0.69,0.34,kg,0.34
1631,Queso mozzarella italiana light Galbani 125 g.,1.5,0.125,kg,0.125
1632,Bollo con pepitas de chocolate Classic' Carrefour 240 g.,1.06,0.24,kg,0.24
1633,Magdalenas cuadrada Bimbo Martinez 24 ud.,2.69,0.701,kg,0.701
1634,Chorizo dulce sin gluten 200 g.,1.22,0.2,kg,0.2
1635,Uva blanca sin pepitas Carrefour bandeja de 500 g,1.89,0.5,kg,0.5
1636,Judia verde plana Cat 1Âªmalla 500 g,1.45,0.5,kg,0.5
1637,Guacamole Carrefour 200 g,1.49,0.2,kg,0.2
1638,Croissant clasico Carrefour 4 ud,2.99,3.987,ud,3.987
1639,Judia fina flow pack250 g,1.35,0.25,kg,0.25
1640,Queso fresco batido desnatado Proteina Plus Carrefour 500 g.,1.4,0.5,kg,0.5
1641,Pimiento del piquillo relleno de bacalao congelados 400 g,3.95,0.4,kg,0.4
1642,Queso lonchas Garcia Baquero sin lactosa 150 g.,2.65,0.15,kg,0.15
1643,Pan burger TGB 292 g 4 ud,3.5,0.292,kg,0.292
1644,Ensalada linea Carrefour 200 g,0.99,0.2,kg,0.2
1645,Pan 100% integral ecologico Carrefour Bio 330 g,1.99,0.33,kg,0.33
1646,Queso havarti light en lonchas Arla 150 g.,2.65,0.15,kg,0.15
1647,Pera conferencia D.O. Rincon de Soto 1 kg aprox,2.49,1.0,kg,1.0
1648,Queso de oveja curado Carrefour Classic cuna ya cortada de 250g,3.49,0.25,kg,0.25
1649,Tabla de pates Carrefour sin gluten pack de 4 unidades de 50 g.,2.45,0.2,kg,0.2
1650,Salchicha queso Wudy 150 g.,0.99,0.15,kg,0.15
1651,Salchichon de pavo extra Carrefour sin gluten pack de 2 unidades de 75 g.,1.85,0.15,kg,0.15
1652,Salchichon extra 50% raza duroc en finas lonchas Boadas sin gluten 100 g,1.99,0.1,kg,0.1
1653,Ensalada completa Gourmet con nueces y queso de cabra Florette 180 g,2.95,0.18,kg,0.18
1654,Tinta de sepia congelada 2 ud de 4 g,0.29,1.0,ud,1.0
1655,Habas baby Carrefour 200 g.,0.8,0.2,kg,0.2
1656,Pate de salmon Casa Tarradellas sin gluten 125 g.,0.99,0.125,kg,0.125
1657,Finas del mar 200 g,2.09,0.25,kg,0.25
1658,Lote 52. Paleta iberica de cebo 50% raza iberica El Lujo pieza de 4 kg aprox + chorizo cular iberico El Lujo pieza de 350 g aprox. + salchichon cular iberico El Lujo pieza de 350 g aprox + queso de mezcla curado cuna de 300 g aprox.,59.0,1.0,ud,1.0
1659,Salchichas alemanas Frankfurt Picken 340 g.,2.79,0.34,kg,0.34
1660,Salchichas cocidas Bratwurst Campofrio 260 g.,2.19,0.26,kg,0.26
1661,Queso fresco desnatado Burgo de Arias pack de 6 unidades de 72 g.,4.35,0.432,kg,0.432
1662,Jamon cocido lonchas bajo grasa y sal Embutidos Noel 180 g,2.1,0.17,kg,0.17
1663,Filete de lomo de cerdo iberico Carrefour 400 g aprox,6.4,0.4,kg,0.4
1664,Entrecot de vacuno para la piedra 1 kg aprox,15.9,1.0,kg,1.0
1665,Queso Parmesano escama Carrefour 100 g.,1.99,0.1,kg,0.1
1666,Queso fundido para hamburguesa Carrefour 300 g.,1.39,0.3,kg,0.3
1667,Ensalada completa de pasta y rucula Florette 320 g,2.95,0.32,kg,0.32
1668,Cecina loncheada Palcarsa sin gluten y sin lactosa 100 g,2.59,0.1,kg,0.1
1669,Salchichas BIG pavo El Pozo sin gluten pack de 3 unidades de 200 g.,2.0,0.601,kg,0.601
1670,Empana rectangular de pollo con champinones Carrefour 700 g,4.99,0.8,kg,0.8
1671,Tortilla de patata con cebolla 300 g,1.99,0.3,kg,0.3
1672,Queso gouda en lonchas Margui 300 g.,1.69,0.3,kg,0.3
1673,Kiwi sungold ecologico Zepri 500 g,4.75,0.5,kg,0.5
1674,Jamon cocido exxtra en lonchas finas Carrefour sin gluten y sin lactosa 200 g,1.79,0.2,kg,0.2
1675,Calamar crudo troceado y limpio de la india Carrefour 475 g.,3.95,0.475,kg,0.475
1676,Kaki sharoni 1 kg aprox,3.49,1.0,kg,1.0
1677,Chorizo sarta curado picante Carrefour sin guten y sin lactosa 280 g,1.89,0.28,kg,0.28
1678,Ajo blanco extra de Chinchon 500 g,2.49,0.5,kg,0.5
1679,Rabanitos El Dulze 250 g,0.95,0.25,kg,0.25
1680,Hamburguesa de cerdo Carrefour 6x90 g,2.5,5.952,ud,5.952
1681,Filetes de bacalao ultracongelado Pescanova 400 g.,6.35,0.4,kg,0.4
1682,Zanahoria rallada Carrefour 150 g,0.75,0.15,kg,0.15
1683,Quesi semicurado mezcla Garcia Baquero 200 g.,3.15,0.2,kg,0.2
1684,Crema al queso azul President 125 g.,1.58,0.125,kg,0.125
1685,Cordon bleu de pechuga de pollo. pavo y queso 400 g,3.5,0.4,kg,0.4
1686,Bocaditos Carrefour 370 g.,0.9,0.37,kg,0.37
1687,Queso en lonchas emmental Arla 150 g.,2.65,0.15,kg,0.15
1688,Melon piel de sapo selecta 4 kg aprox,9.8,4.0,kg,4.0
1689,Pan de molde blanco Carrefour No Gluten sin gluten 400 g.,2.59,0.4,kg,0.4
1690,Masa fresca para pizza 5 semillas & cereales Casa Tarradellas 260 g.,1.46,0.26,kg,0.26
1691,Bacon ahumado lonchas El Pozo 150 g.,2.09,0.15,kg,0.15
1692,Bizcocho casero 400 g,3.0,0.5,kg,0.5
1693,Tiras de pollo asado Noel sin gluten y sin lactosa 140 g,1.89,0.14,kg,0.14
1694,Queso fresco desnatado de Burgos Carrefour pack de 2 unidades de 250 g.,1.55,0.5,kg,0.5
1695,Pan de trigo sarraceno 5% 1 udTipo de corte:Pieza,2.25,1.0,ud,1.0
1696,Cebolla blanca Carrefour 500 g,1.59,0.5,kg,0.5
1697,Pechuga de pavo en lonchas Noel - Delizias sin gluten y sin lactosa 110 g,1.99,0.11,kg,0.11
1698,Salchichas cocidas y ahumadas estilo Baviera Campofrio 260 g.,2.19,0.26,kg,0.26
1699,Queso rallado 4 Quesos President 150 g.,2.19,0.15,kg,0.15
1700,Pechuga de pavo Braseado Campofrio Finissimas sin gluten 170 g.,2.75,0.17,kg,0.17
1701,Hamburguesa de vacuno raza frisona El Encinar de Humienta 240 g,1.85,0.24,kg,0.24
1702,Picatostes sabor natural Recondo 75 g.,1.21,0.08,kg,0.08
1703,Magdalenas mini estilo tradicional con pepitas de chocolate The Rustik Bakery 190 g.,2.19,0.19,kg,0.19
1704,Pasta de hojaldre Buitoni 230 g.,2.09,0.23,kg,0.23
1705,Tomate pera rama Carrefour 500 g,1.99,0.5,kg,0.5
1706,Menestra de verduras Findus 1 kg.,4.05,1.0,kg,1.0
1707,Langostino extra grande cocido 24/32 Carrefour 800 g.,9.25,0.8,kg,0.8
1708,Ensalada pasta y rucula Carrefour 335 g,2.75,0.335,kg,0.335
1709,Pimiento ecologico Carrefour Bio 400 g,2.15,0.3,kg,0.3
1710,Lechuga trocadero1 ud,1.19,1.0,ud,1.0
1711,Lomos merluza con piel ultracongelados Carrefour 400 g.,3.19,0.4,kg,0.4
1712,Queso puro de oveja viejo graso mini Flor de Esgueva pieza de 1 kg,17.95,1.0,kg,1.0
1713,Jengibre bandeja 200 g,1.3,0.2,kg,0.2
1714,Crema de queso Philadelphia sin lactosa 150 g.,1.99,0.15,kg,0.15
1715,Mini fuet Carrefour Sensation sin gluten 50 g.,0.99,0.05,kg,0.05
1716,Pan Original Wasa 275 g.,2.25,0.275,kg,0.275
1717,Batata Carrefour Extra 500 g.,2.05,0.5,kg,0.5
1718,Pechuga de pavo adobada ElPozo 330 gr,2.55,0.33,kg,0.33
1719,Pan de hamburguesa artesano Bimbo 4 ud.,1.3,0.2,kg,0.2
1720,Pan de molde integral 800 g,1.99,0.799,kg,0.799
1721,Roscon de reyes pequeno de nata Carrefour 450 g,5.99,1.0,ud,1.0
1722,Queso rallado emmental ecologico Carrefour Bio 200g.,2.29,0.2,kg,0.2
1723,Palitos de trigo con pipas Grefusa Snatt's pack de 4 unidades de 40 g.,2.29,0.16,kg,0.16
1724,Queso camembert Caprice des Dieux 200 g,4.15,0.2,kg,0.2
1725,Picos integrales con aceite de oliva y ajonjoli Carrefour 240 g,1.15,0.24,kg,0.24
1726,Croissant de mantequilla de chocolate 90 g,0.69,0.09,kg,0.09
1727,Pan de pita integral Carrefour sin lactosa 400 g.,1.37,0.399,kg,0.399
1728,Judia verde plana ecologica Carrefour Bio 250 g,1.89,0.25,kg,0.25
1729,Paleta de cebo iberica 50% Raza iberica Seleccion Especial El Lujo sin gluten y sin lactosa 100 g,5.35,0.1,kg,0.1
1730,Choco Roll Classic' Carrefour 270 g.,1.21,0.27,kg,0.27
1731,Verduras para sofrito Findus 250 g.,2.09,0.25,kg,0.25
1732,Pate de higado de cerdo Tapa Negra La Piara pack de 3 unidades de 75 g.,2.95,0.225,kg,0.225
1733,Pan molde alto contenido en proteinas 450 g,2.79,0.45,kg,0.45
1734,Surtidos de fresas y frutos rojos de Espana 750 gr,9.95,0.75,kg,0.75
1735,Bizcochitos Oceanix blanditos Tosta Rica 192 g.,2.09,0.16,kg,0.16
1736,Masa de hojaldre con mantequilla Casa Tarradellas 260 g.,1.5,0.26,kg,0.26
1737,Pan sandwich Thins 100% Integral Bimbo Silueta 310 g.,1.65,0.31,kg,0.31
1738,Queso en dados para ensaladas Extra Carrefour 200 g.,1.6,0.2,kg,0.2
1739,Salchichas vegetales ecologicas Carrefour Bio 230 g.,3.05,0.23,kg,0.23
1740,Queso light en porciones El Caserio 250 g.,1.83,0.25,kg,0.25
1741,Pan hogaza quinoa. chia y espelta The Rustik Bakery 450 g.,2.22,0.45,kg,0.45
1742,Masa de hojaldre estirada Carrefour 500 g.,1.32,0.5,kg,0.5
1743,Pechuga de pavo reducida en sal y sin grasa El Pozo Bienstar sin gluten sin lactosa 340 g.,3.09,0.34,kg,0.34
1744,Sobrasada de Mallorca El Zagal tarrina 150 g,1.6,0.15,kg,0.15
1745,Queso de oveja anejo Calidad y Origen Carrefour cuna de 375 g aprox,4.48,0.375,kg,0.375
1746,Acelgas en hoja Carrefour 400 g.,0.68,0.4,kg,0.4
1747,Wok de tallarines con pollo al curry Carrefour 300 g,3.0,1.0,ud,1.0
1748,Langostino vannamei cocido 60/68 800 g.,6.45,0.8,kg,0.8
1749,Pan de molde integral Bimbo 480 g.,1.25,0.481,kg,0.481
1750,Patatas corte para bravas Carrefour 750 g.,0.99,0.75,kg,0.75
1751,Queso de vaca tierno edam Carrefour 350 g aprox,2.23,0.35,kg,0.35
1752,Cebolla francesa Carrefour 500 g,1.85,0.5,kg,0.5
1753,Arroz tres delicias 350 g,3.0,1.0,ud,1.0
1754,Barra de pan integral 100% Hecho aqui Carrefour 350 g,0.99,1.0,ud,1.0
1755,Alcachofas baby Carrefour 300 g.,2.65,0.3,kg,0.3
1756,Queso de oveja en lonchas Garcia Baquero 125 g.,2.39,0.125,kg,0.125
1757,Judias verdes planas Findus 1 kg.,4.05,1.0,kg,1.0
1758,Mejillon pasteurizado Calidad y Origen Carrefour 1 kg,5.25,1.0,kg,1.0
1759,Mini redondos de chocolate Carrefour 160 g.,0.86,0.16,kg,0.16
1760,Colines saladitos Carrefour 250 g.,0.99,0.25,kg,0.25
1761,Queso en loncha tierno light Carrefour 200 g.,2.09,0.2,kg,0.2
1762,Caqui Carrefour 500 g aprox,1.34,0.498,kg,0.498
1763,Picos pan integral Andres 130 g.,1.34,0.13,kg,0.13
1764,Chirla italiana fresca 500 g,3.95,0.5,kg,0.5
1765,Queso curado puro de oveja mini Carrefour pieza de 1 Kg aprox,10.83,1.19,kg,1.19
1766,Queso de oveja viejo graso Flor de Esgueva tapas maestras ya cortado cuna de 210 g,5.4,0.21,kg,0.21
1767,Pan de molde familiar Panrico 750 g.,2.09,0.749,kg,0.749
1768,Boqueron limpio Carrefour 500 g.,4.09,0.5,kg,0.5
1769,Masa filo Carrefour 250 g.,1.8,0.25,kg,0.25
1770,Queso rallado cinco quesos Miraflores 150 g.,2.09,0.15,kg,0.15
1771,Queso fresco Original Burgo de Arias pack de 2 unidades de 230 g.,4.29,0.46,kg,0.46
1772,Tartaleta de mantequilla 45 mm 16 ud,2.99,15.737,ud,15.737
1773,Queso rallado cheddar,1.66,0.15,kg,0.15
1774,Panettone clasico Carrefour Extra 500 g,2.75,0.5,kg,0.5
1775,Mini ensaimada de azucar Carrefour 6 ud,2.55,6.071,ud,6.071
1776,Cerveza tostada Mahou 0.0 alcohol pack de 12 latas de 33 cl.,7.55,3.953,L,3.953
1777,Vino blanco de mesa Carrefour brik 1 l.,0.8,1.0,L,1.0
1778,Fanta de naranja pack 9 latas de 33 cl.,4.77,2.963,L,2.963
1779,Agua mineral Lanjaron 1.5 l.,0.53,1.514,L,1.514
1780,Zumo de fruta y leche Carrefour Tropical pack de 6 briks de 20 cl.,0.86,1.194,L,1.194
1781,Coca Cola zero azucar pack 2 botellas 1.25 l.,2.64,2.491,L,2.491
1782,Coca Cola zero azucar sin cafeina pack 2 botellas 2 l.,3.44,4.0,L,4.0
1783,Refresco de naranja Fanta con gas pack de 2 botellas de 2 l.,2.82,4.029,L,4.029
1784,Coca Cola zero azucar zero cafeina mini pack 6 latas 20 cl.,3.3,1.2,L,1.2
1785,Agua mineral Lanjaron 6.25 l.,1.99,6.219,L,6.219
1786,Zumo de frutas y leche Carrefour sabor mediterraneo pack de 6 briks de 20 cl.,0.9,1.2,L,1.2
1787,Cerveza Carrefour Especial pack de 12 latas de 33 cl.,3.36,3.953,L,3.953
1788,Agua mineral Carrefour 2 l.,0.35,2.059,L,2.059
1789,Coca Cola mini pack 6 latas 20 cl.,3.3,1.2,L,1.2
1790,Vino blanco Carrefour pack de 3 briks de 20 cl.,0.99,0.6,L,0.6
1791,Cerveza Alhambra tradicional pack de 12 latas de 33 cl.,6.61,3.958,L,3.958
1792,Agua mineral con gas San Pellegrino 1 l.,1.16,1.0,L,1.0
1793,Zumo de manzana Carrefour pack de 6 briks de 20 cl.,1.05,1.193,L,1.193
1794,Zumo de naranja Don Simon sin pulpa brik 1 l.,1.88,1.0,L,1.0
1795,Tonica Nordic Mist lata 25 cl.,0.5,0.25,L,0.25
1796,Coca Cola zero azucar pack 2 botellas 2 l.,3.44,4.0,L,4.0
1797,Fanta de naranja zero azucares anadidos pack 2 botellas 2 l.,2.85,4.014,L,4.014
1798,Cerveza Mahou 5 Estrellas especial pack de 12 latas de 33 cl.,8.16,3.961,L,3.961
1799,Cerveza Alhambra Reserva 1925 pack de 6 botellas de 33 cl.,6.78,1.982,L,1.982
1800,Sidra El Gaitero achampanada extra botella 75 cl.,2.5,0.751,L,0.751
1801,Cerveza 1906 reserva especial pack 12 botellas 33 cl.,11.89,3.963,L,3.963
1802,Nestea te negro con limon sin azucar pack 2 botellas 1.5 l.,3.35,2.991,L,2.991
1803,Agua mineral Carrefour 50 cl.,0.26,0.5,L,0.5
1804,Cerveza Estrella Damm mediterranea pack de 12 botellas de 25 cl.,5.88,3.0,L,3.0
1805,Zumo de naranja Don Simon exprimido con pulpa brik 1 l.,1.88,1.0,L,1.0
1806,Refresco de cola Carrefour zeroÂ botella 1.5 l.,0.46,1.484,L,1.484
1807,Trina de naranja sin gas botella 1.5 l.,1.39,1.495,L,1.495
1808,Refresco de cola Carrefour zero sin cafeina botella 1.5 l.,0.46,1.484,L,1.484
1809,Nectar de mango y naranja Carrefour brik 1 l.,0.63,1.0,L,1.0
1810,Agua mineral Carrefour 5 l.,0.54,4.909,L,4.909
1811,Cerveza tostada Mahou 0.0 alcohol pack de 6 botellas de 25 cl.,3.59,1.502,L,1.502
1812,Aquarius sabor limon pack 4 botellas 1.5 l.,6.44,6.019,L,6.019
1813,Cerveza El Ãguila sin filtrar pack de 10 latas de 33 cl.,6.55,3.308,L,3.308
1814,Limonada Don Simon exprimida botella 1.5 l.,0.97,1.492,L,1.492
1815,Coca Cola sin cafeina lata 33 cl.,0.75,0.33,L,0.33
1816,Zumo de naranja recien exprimido Carrefour 1 l,3.59,1.0,L,1.0
1817,Cider Ladron de manzanas 25 cl.,1.05,0.25,L,0.25
1818,Zumo de naranja 100% Fruta Granini botella 1 l.Â ,2.55,1.0,L,1.0
1819,Cerveza Alhambra Reserva roja pack de 4 botellas de 33 cl.,4.89,1.322,L,1.322
1820,Tonica Nordic Mist zero azucar lata 25 cl.,0.52,0.25,L,0.25
1821,Zumo de pina Carrefour brik 1 l.,0.82,1.0,L,1.0
1822,Zumo de pina Carrefour exprimido brik 1 l.,1.67,1.0,L,1.0
1823,Refresco de cola Carrefour zero lata 25 cl.,0.26,0.25,L,0.25
1824,Bitter Kas sin alcohol pack de 6 botellas de 20 cl.,3.89,1.201,L,1.201
1825,Bebida de melocoton Carrefour sin azucar pack de 6 briks de 20 cl.,1.2,1.2,L,1.2
1826,Cerveza Franziskaner Sefe-Weissbier botella 50 cl.,1.35,0.5,L,0.5
1827,Zumo de pina Juver-Disfruta sin azucar anadido pack de 6 briks de 20 cl.,2.49,1.203,L,1.203
1828,Coca Cola light pack 12 latas 33 cl.,8.76,3.964,L,3.964
1829,Vino blanco Fuentevina botella 75 cl.,0.91,0.752,L,0.752
1830,Zumo de manzana ecologico Carrefour Bio brik 1 l.,2.05,1.0,L,1.0
1831,Agua mineral Font Vella 2.5 l.,0.99,2.475,L,2.475
1832,Vino blanco verdejo Dama del Lago D.O. Rueda 75 cl.,2.8,1.0,ud,1.0
1833,Ginebra Larios 1 l.,10.0,1.0,L,1.0
1834,Nestea te verde con maracuya bajo en calorias botella 1.5 l.,1.23,1.5,L,1.5
1835,Vino D.O Rioja tinto crianza Vina Espolon 75 cl.,4.2,1.0,ud,1.0
1836,Ginebra Puerto de Indias premium strawberry 70 cl.,14.49,0.7,L,0.7
1837,Vino D.O. Ribera del Duero tinto roble Vina Espolon 75 cl.,4.3,1.0,ud,1.0
1838,Agua mineral con gas Carrefour 50 cl.,0.21,0.5,L,0.5
1839,Trina de naranja sin gas lata 33 cl.,0.55,0.329,L,0.329
1840,Agua mineral Solan de Cabras natural 1.5 l.,0.72,1.5,L,1.5
1841,Vermut Martini rojo 1 l.,8.0,1.0,L,1.0
1842,Refresco de limon Carrefour con gas botella 2 l.,0.63,2.032,L,2.032
1843,Cerveza Desperados sabor tequila botella 33 cl.,1.4,0.33,L,0.33
1844,Zumo Florida Sunny Delight 1.25 l.,1.65,1.25,L,1.25
1845,Ron Barcelo anejo 70 cl.,13.7,0.7,L,0.7
1846,Agua mineral Lanjaron natural tapon deportivo 33 cl.,0.5,0.329,L,0.329
1847,Refresco de cola Carrefour classic lata 25 cl.,0.26,0.25,L,0.25
1848,Zumo tropical Original Bifrutas brik 1 l.,1.84,1.0,L,1.0
1849,Vino tinto crianza Senorio de los LlanosD.O. Valdepenas 75 cl.,1.88,1.0,ud,1.0
1850,Cerveza Cruzcampo Pilsen pack de 12 latas de 33 cl.,7.09,3.961,L,3.961
1851,Tonica Pink Schweppes lata de 33 cl.,0.79,0.331,L,0.331
1852,Martini Rojo Vermouth,11.75,1.501,L,1.501
1853,Martin Codax Blanco Joven 2020,10.49,1.0,ud,1.0
1854,Bebida Isotonica Carrefour sin gas sabor naranja botella 1.5 l.,0.82,1.491,L,1.491
1855,Protos Tinto Roble 2020,8.45,1.0,ud,1.0
1856,Freixenet Carta Nevada Semiseco Cava,4.45,1.0,ud,1.0
1857,Schweppes de limon lata 33 cl.,0.79,0.331,L,0.331
1858,Ruavieja Cremas,11.89,0.7,L,0.7
1859,Refresco de lima-limon Carrefour con gas botella 2 l.,0.63,2.032,L,2.032
1860,Cerveza Alhambra reserva esencia citra ipa botella 33 cl.,1.45,0.33,L,0.33
1861,Cerveza 0.0% alcohol Carrefour lata 33 cl.,0.29,0.33,L,0.33
1862,Bebida de naranja y mango Carrefoursin azucar anadidoes brik 1 l.,0.8,1.0,L,1.0
1863,Zumo de frutas y leche Carrefour sabor mediterraneo brik 1 l.,0.7,1.0,L,1.0
1864,Zumo de naranja sin azucar anadido Juver-Disfruta brik 2 l.,2.69,2.007,L,2.007
1865,Refresco de naranja Carrefour con gas lata 33 cl.,0.27,0.329,L,0.329
1866,Whisky Ballantine's escoces 70 cl.,10.5,0.7,L,0.7
1867,Agua mineral Carrefour con zumo de limon zero sin azucares anadidos 1.5 l.,0.94,1.492,L,1.492
1868,Pepsi pack de 4 botellas de 1.75 l.,4.79,7.044,L,7.044
1869,Zumo de melocoton y uva ecologico Carrefour Bio exprimido pack de 3 briks de 20 cl.,1.69,0.599,L,0.599
1870,Agua mineral Carrefour Kids tapon deportivo 33 cl.,0.32,0.33,L,0.33
1871,Cerveza Amstel Oro 0.0 tostada lata 33 cl.,0.69,0.33,L,0.33
1872,Limon&Nada sin gas Minute Maid botella 1 l.,1.61,1.0,L,1.0
1873,Cerveza tostada San Miguel Selecta botella 33 cl.,0.99,0.33,L,0.33
1874,Cider Ladron de manzanas sabor frutos rojos 25 cl.,1.05,0.25,L,0.25
1875,Coto Tinto Crianza 2017,5.85,1.0,ud,1.0
1876,Cerveza Cruzcampo Shandy con limon pack de 6 botellas de 25 cl.,2.75,1.503,L,1.503
1877,Cerveza Free Damm Lager 0.0 sin alcohol lata 33 cl.,0.58,0.33,L,0.33
1878,Ginebra Beefeater 1.5 l.,26.6,1.5,L,1.5
1879,Cerveza El Aguila pack de 10 latas de 33 cl.,6.8,3.301,L,3.301
1880,Ginger Ale Schweppes lata 25 cl.,0.74,0.25,L,0.25
1881,Blanc Pescador,3.6,1.0,ud,1.0
1882,Tonica Schweppes original botella 25 cl.,0.75,0.25,L,0.25
1883,Ginebra Larios 12 premium 70 cl.,13.25,0.7,L,0.7
1884,Red bull bebida energetica pack de 4 latas de 25 cl.,4.2,1.0,L,1.0
1885,Cerveza San Miguel especial Lager lata 50 cl.,0.78,0.5,L,0.5
1886,Cerveza Gama 1906 pack de 8 botellas de 33 cl.,9.19,2.641,L,2.641
1887,Zumo de melocoton. manzana y uva Don Simon pack de 6 briks de 20 cl.,1.59,1.195,L,1.195
1888,Cerveza Carrefour Lager botella 1 l.,0.68,1.0,L,1.0
1889,Cerveza San Miguel 0.0 radler con zumo limon natural lata 33 cl.,0.62,0.33,L,0.33
1890,Te de limon zero Carrefour botella 1 l.,0.47,1.0,L,1.0
1891,Refresco de lima-limon Sprite con gas zero botella 2 l.,1.34,2.0,L,2.0
1892,Cerveza Carrefour Holandesa lata 50 cl.,0.35,0.5,L,0.5
1893,Zumo de mandarinaSimon Life botella 1.5 l.,1.35,1.5,L,1.5
1894,Anna De Codorniu Brut Nature,7.79,1.0,ud,1.0
1895,Cerveza Carrefour Radler con limon pack de 12 latas de 33 cl.,4.2,3.962,L,3.962
1896,Pepsi Max zero azucar sabor lima lata 33 cl.,0.66,0.33,L,0.33
1897,Zumo de melocoton y uva 100% Fruta Granini botella 1 l.Â ,2.55,1.0,L,1.0
1898,Bebida espirituosa Veterano 1 l.,8.25,1.0,L,1.0
1899,Ginebra Beefeater 70 cl.,12.0,0.7,L,0.7
1900,Cerveza Leffe botella 33 cl.,1.55,0.33,L,0.33
1901,Pepsi Max pack de 2 botellas de 1.75 cl.,2.84,3.422,L,3.422
1902,Refresco de limon Carrefour con gas zero botella 2 l.,0.63,2.032,L,2.032
1903,Freixenet Carta Nevada Cava,4.45,1.0,ud,1.0
1904,Bitter Carrefour pack de 6 botellas de 20 cl.,1.57,1.198,L,1.198
1905,Agua mineral Aquarel tapon deportivo 75 cl.,0.62,0.747,L,0.747
1906,Bebida energetica Energy Carrefour 50 cl.,0.57,0.5,L,0.5
1907,Zumo de clementinas Carrefour exprimido brik de 1 l.,1.18,1.0,L,1.0
1908,Cerveza Amstel Radler con limon pack de 6 botellas de 25 cl.,3.45,1.5,L,1.5
1909,Vino D.O. La Mancha blanco verdejo Ãpera Prima 75 cl.,1.53,1.0,ud,1.0
1910,Vino frizzzante lambrusco rosado Amabile Bautista Marti 75 cl.,1.8,1.0,ud,1.0
1911,Anis del Mono edicion especial 1 l.,9.76,1.0,L,1.0
1912,Agua mineral con gas Fonter 1 l.,0.92,1.0,L,1.0
1913,Agua mineral Carrefour con zumo de frutas del bosque zero sin azucares anadidos 1.5 l.,0.94,1.492,L,1.492
1914,Vino D.O. Valdepenas tinto reserva Vina Albali 75 cl.,3.15,1.0,ud,1.0
1915,Zumo de pina sin azucar anadido Juver-Disfruta brik 2 l.,2.75,2.007,L,2.007
1916,Cerveza Franziskaner Dunkel botella 50 cl.,1.35,0.5,L,0.5
1917,Tonica Carrefour botella 1.5 l.,0.57,1.5,L,1.5
1918,Ginebra Larios 1.5 l.,14.5,1.499,L,1.499
1919,Pepsi Max zero azucar zero cafeina pack 9 latas 33 cl.,5.59,2.973,L,2.973
1920,Cerveza 1906 Reserva Especial pack 6 botellas 33 cl.,6.09,1.977,L,1.977
1921,Cerveza Amstel 100% malta pack de 28 latas de 33 cl.,15.8,9.24,L,9.24
1922,Pazo Ribeiro Blanco 2020,3.69,1.0,ud,1.0
1923,Cerveza Heineken Lager 0.0 alcohol pack 12 latas 33 cl.,8.2,3.961,L,3.961
1924,Whisky Johnnie Walker escoces 1 l.,16.26,1.0,L,1.0
1925,Cerveza Damm Lemon con limon lata 33 cl.,0.65,0.33,L,0.33
1926,Vermut Martini blanco 1.5 l.,11.75,1.501,L,1.501
1927,Lote 96. Estuche de 2 botellas de frizzante blanco verdejo Yllera 5.5 75 cl. + 1 botella frizzante rosado Yllera 5.5 Rose 75 cl.,15.5,1.0,ud,1.0
1928,Zumo de uva roja ecologico Carrefour Bio brik 1 l.,1.99,1.0,L,1.0
1929,Cerveza Carrefour extra malta lata de 33 cl.,0.4,0.331,L,0.331
1930,Agua mineral Solan de Cabras natural 33 cl.,0.54,0.329,L,0.329
1931,Coca Cola light mini pack 6 latas 20 cl.,3.3,0.12,L,0.12
1932,Zumo de frutas y leche Carrefour sabor tropical pack de 3 briks de 33 cl.,0.82,0.988,L,0.988
1933,Tonica Schweppes pink botella 1 l.,1.8,1.0,L,1.0
1934,Cerveza Mahou 5 Estrellas especial pack de 6 botellas de 25 cl.,3.05,1.502,L,1.502
1935,Nectar de guayaba Carrefour brik 1 l.,0.99,1.0,L,1.0
