,precio,precio_rel,producto,link,Q,precio_medida,medida,precio_medida2,precio_medida1,Q_medida
69,0.6,1.20 /kg,Fideo cabellin Carrefour 500 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 500 g.,1.20 ,kg,,1.20 ,
70,1.74,1.45 /kg,Yogur liquido de fresa Carrefour Classic' pack de 12 unidades de 100 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 12 unidades de 100 g.,1.45 ,kg,,1.45 ,
71,1.29,4.30 /kg,Patatas fritas churreria en aceite de girasol Carrefour pack de 2 bolsas de 150 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 2 bolsas de 150 g.,4.30 ,kg,,4.30 ,
72,1.05,4.20 /kg,Turron de chocolate con leche crujiente Carrefour sin gluten 250 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 250 g.,4.20 ,kg,,4.20 ,
73,1.05,1.40 /kg,Yogur griego natural azucarado Carrefour Extra pack de 6 unidades de 125 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 6 unidades de 125 g.,1.40 ,kg,,1.40 ,
74,2.14,2.14 /kg,Yogur natural Danone pack de 8 unidades de 120 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 8 unidades de 120 g.,2.14 ,kg,,2.14 ,
75,2.28,12.67 /kg,Patatas fritas gourmet sabor original Lay's 180 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 180 g.,12.67 ,kg,,1,
76,1.49,7.45 /kg,Guacamole Carrefour 200 g,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 200 g,7.45 ,kg,,7.45 ,
77,1.99,3.98 /docena,Huevos M-L ecologicos Carrefour Bio 6 ud.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 6 ud.,3.98 ,docena,,3.98 ,
78,1.0,1 /l,Bebida de avena calcio sin azucar anadido Carrefour brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96, 1 l.,1 ,l,,1 ,
79,1.89,5.48 /kg,Champinones laminados Carrefour pack de 3 unidades de 115 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96, 3 unidades de 115 g.,5.48 ,kg,,5.48 ,
80,2.65,7.07 /kg,Chocolate con leche extrafino Nestle sin gluten pack de 3 tabletas de 125 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96, 3 tabletas de 125 g.,7.07 ,kg,,7.07 ,
81,2.95,1.47 /kg,Arroz redondo Sos 2 kg.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96, 2 kg.,1.47 ,kg,,1.47 ,
