,precio,precio_rel,producto,link,Q,precio_medida,medida,precio_medida2,precio_medida1,Q_medida
1410,3.49,8.72 /kg,Preparado de carne picada de vacuno Calidad y Origen Carrefour 400 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360, 400 g,8.72 ,kg,,8.72 ,
1411,3.25,4.64 /kg,Butifarra fresca extra de cerdo enrollada Carrefour 700 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360, 700 g,4.64 ,kg,,4.64 ,
1412,0.99,2.75 /kg,Pan de la abuela integral 100%,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360,,2.75 ,kg,,2.75 ,
1413,1.26,3.82 /kg,Panecillos para perritos Bimbo 330 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360, 330 g.,3.82 ,kg,,3.82 ,
1414,1.4,3.11 /kg,Endivia Carrefour 450 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360, 450 g,3.11 ,kg,,3.11 ,
1415,1.69,16.90 /kg,Tostadas mini extrafinas Ortiz 100 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360, 100 g.,16.90 ,kg,,1,
1416,1.15,57.50 /kg,Albahaca cortada Carrefour 20 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360, 20 g,57.50 ,kg,,1,
1417,9.95,49.75 /kg,Paleta de cebo iberica 50 % raza iberica en lonchas 200 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360, 50 % raza iberica en lonchas 200 g,49.75 ,kg,,1,
1418,1.12,1.37 /kg,Pan de molde con corteza Especial tostadas Carrefour 820 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360, 820 g.,1.37 ,kg,,1.37 ,
1419,1.13,11.30 /kg,Longaniza de payes en lonchas Carrefour sin gluten 100 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360, 100 g.,11.30 ,kg,,1,
1420,2.05,4.56 /kg,Pan de molde integral sin corteza 8 cereales Bimbo Silueta 450 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360, 8 cereales Bimbo Silueta 450 g.,4.56 ,kg,,4.56 ,
1421,1.29,7.17 /kg,Palitos de pan con pipas Carrefour pack de 2x90 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360,,7.17 ,kg,,7.17 ,
1422,8.99,29.97 /kg,Lomo de salmon congelado Friusa 300 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360, 300 g,29.97 ,kg,,1,
1423,0.99,1.98 /kg,Apio blanco 500 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360, 500 g,1.98 ,kg,,1.98 ,
1424,2.7,1.35 /kg,Naranja Circulo de Calidad2 Kg,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360,,1.35 ,kg,,1.35 ,
1425,1.61,4.03 /kg,Cortes de alcachofa Carrefour 400 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360, 400 g.,4.03 ,kg,,4.03 ,
1426,4.19,8.38 /kg,Crema de queso de untar light Philadelphia pack de 2 unidades de 250 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360, 2 unidades de 250 g.,8.38 ,kg,,8.38 ,
1427,1.15,57.50 /kg,Cilantro cortado Carrefour 20 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360, 20 g,57.50 ,kg,,1,
1428,1.39,7.72 /kg,Tortas de aceite Ines Rosales 180 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360, 180 g.,7.72 ,kg,,7.72 ,
1429,3.35,6.70 /kg,Constramuslo de pavo fileteado Carrefour 500 g aprox,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360, 500 g aprox,6.70 ,kg,,6.70 ,
1430,2.05,11.99 /kg,Bollito recubierto de chocolate Donettes 9 ud.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360, 9 ud.,11.99 ,kg,,1,
1431,2.39,9.96 /kg,Hamburguesa de vacuno ecologica sin gluten y sin lactosa Carrefour Bio 2x120 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360,,9.96 ,kg,,9.96 ,
1432,1.89,3.78 /kg,Uva blanca sin pepitas Carrefour bandeja de 500 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360, 500 g,3.78 ,kg,,3.78 ,
1433,1.45,2.90 /kg,Judia verde plana Cat 1ªmalla 500 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360, 500 g,2.90 ,kg,,2.90 ,
1434,1.49,7.45 /kg,Guacamole Carrefour 200 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360, 200 g,7.45 ,kg,,7.45 ,
1435,1.99,18.09 /kg,Jamon cocido premium Delizias Noel sin gluten y sin lactosa 110 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384, 110 g,18.09 ,kg,,1,
1436,1.1,2.75 /kg,Verduras asadas con patata Carrefour 400 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384, 400 g.,2.75 ,kg,,2.75 ,
1437,1.6,3.20 /kg,Edamame vainas de soja Carrefour 500 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384, 500 g.,3.20 ,kg,,3.20 ,
1438,3.92,4.45 /kg,Traseros de pollo certificado Carrefour 880 g aprox,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384, 880 g aprox,4.45 ,kg,,4.45 ,
1439,2.99,2.99 /ud,Tortilla de patata con cebolla 600 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384, 600 g,2.99 ,ud,,2.99 ,
1440,1.75,5.47 /kg,Ensalada gourmet Carrefour 320 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384, 320 g,5.47 ,kg,,5.47 ,
1441,119.0,119 /ud,Lote 53. Jamon iberico de cebo 50% raza iberica El Lujo pieza de 7.5 kg aprox + chorizo cular iberico El Lujo pieza de 275 g aprox + salchichon cular iberico El Lujo pieza de 275 g aprox + queso mezcla curado cuna de 300 g aprox,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384, 275 g aprox + salchichon cular iberico El Lujo pieza de 275 g aprox + queso mezcla curado cuna de 300 g aprox,119 ,ud,,119 ,
1442,2.3,9.20 /kg,Queso emmental taco Carrefour 250 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384, 250 g,9.20 ,kg,,9.20 ,
1443,6.4,32 /kg,Queso parmesano reggiano D.O.P. Parmeggio Hispano Italiana 200 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384, 200 g,32 ,kg,,32 ,
1444,1.92,8.21 /kg,Pate de higado de cerdo Classic Carrefour pack de 4 unidades de 78 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384, 4 unidades de 78 g.,8.21 ,kg,,8.21 ,
1445,6.6,8.25 /kg,Sepia limpia 800 g aprox,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384, 800 g aprox,8.25 ,kg,,8.25 ,
1446,2.29,3.05 /kg,Manzana royal gala ecologica bandeja 750 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384, 750 g,3.05 ,kg,,3.05 ,
1447,1.15,2.87 /kg,Patata baby al vapor para microondas El Mercado Carrefour bolsa de 400 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384, 400 g,2.87 ,kg,,2.87 ,
1448,2.35,13.82 /kg,Pechuga de pavo asada en lonchas Receta Artesana El Pozo sin gluten y sin lactosa 170 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384, 170 g,13.82 ,kg,,1,
1449,3.09,7.72 /kg,Jamon cocido extra lonchas finas Carrefour pack de 2 unidades de 200 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384, 2 unidades de 200 g.,7.72 ,kg,,7.72 ,
1450,0.88,3.52 /kg,Mortadela con aceitunas en lonchas Carrefour sin gluten 250 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384, 250 g.,3.52 ,kg,,3.52 ,
1451,1.25,5.43 /kg,Masa brisa Carrefour 230 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384, 230 g.,5.43 ,kg,,5.43 ,
1452,0.79,1.76 /kg,Coles de Bruselas Carrefour 450 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384, 450 g.,1.76 ,kg,,1.76 ,
1453,2.25,11.25 /kg,Jamon cocido extra en lonchas El Pozo sin lactosa 200 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384, 200 g.,11.25 ,kg,,1,
1454,1.3,2.32 /kg,Salchichas con queso fundido estilo frankfurt Carrefour pack de 4 sobres de 140 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384, 4 sobres de 140 g.,2.32 ,kg,,2.32 ,
1455,4.9,19.60 /kg,Queso semicurado mezcla ya cortado Garcia Baquero cuna 1/8. 250 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384, 250 g,19.60 ,kg,,1,
1456,1.59,6.36 /kg,Cebolla echalotte Carrefour 250 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384, 250 g,6.36 ,kg,,6.36 ,
1457,1.89,3.78 /kg,Uva blanca sin pepitas Carrefour bandeja de 500 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384, 500 g,3.78 ,kg,,3.78 ,
1458,1.45,2.90 /kg,Judia verde plana Cat 1ªmalla 500 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384, 500 g,2.90 ,kg,,2.90 ,
1459,1.49,7.45 /kg,Guacamole Carrefour 200 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384, 200 g,7.45 ,kg,,7.45 ,
1460,3.5,6.48 /kg,Hamburguesa de pavo y pollo sin lactosa Carrefour 6x90 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408,,6.48 ,kg,,6.48 ,
1461,0.99,0.99 /kg,Judia troceada Carrefour 1 kg.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408, 1 kg.,0.99 ,kg,,0.99 ,
1462,0.64,2.56 /kg,Picos reventados Carrefour 250 g. ,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408, 250 g. ,2.56 ,kg,,2.56 ,
1463,1.89,6.75 /kg,Chorizo sarta extra dulce Carrefour sin gluten y sin lactosa 280 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408, 280 g,6.75 ,kg,,6.75 ,
1464,1.61,4.03 /kg,Tortillas de trigo y maiz Carrefour Sensation sin aceite de palma 10 ud.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408, 10 ud.,4.03 ,kg,,4.03 ,
1465,3.08,8.20 /kg,Queso semicurado mezcla Granja de la Luz cuna 1/8. 375 g aprox,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408, 375 g aprox,8.20 ,kg,,8.20 ,
1466,1.2,5.22 /kg,Brocoli Carrefour 230 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408, 230 g,5.22 ,kg,,5.22 ,
1467,2.89,8.26 /kg,Masa para pizza maxi finissima Buitoni sin lactosa 350 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408, 350 g.,8.26 ,kg,,8.26 ,
1468,1.99,9.95 /kg,Tomate mini cherry rama 200 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408, 200 g,9.95 ,kg,,9.95 ,
1469,5.9,29.50 /kg,Queso de oveja curado con trufa Carrefour Seleccion cuna 200 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408, 200 g,29.50 ,kg,,1,
1470,0.82,3.28 /kg,Crackers Carrefour 250 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408, 250 g.,3.28 ,kg,,3.28 ,
1471,1.99,3.32 /kg,Pan de molde rustico 600 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408, 600 g,3.32 ,kg,,3.32 ,
1472,1.09,2.37 /kg,Pan de molde integral sin azucar anadido Carrefour 460 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408, 460 g.,2.37 ,kg,,2.37 ,
1473,1.99,9.95 /kg,Queso gouda lonchas ecologico Carrefour Bio 200 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408, 200 g.,9.95 ,kg,,9.95 ,
1474,2.35,5.22 /kg,Pan de molde sin corteza Natural 100% Bimbo sin lactosa 450 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408, 450 g.,5.22 ,kg,,5.22 ,
1475,3.99,7.98 /kg,Rabas enharinadas congeladas 500 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408, 500 g,7.98 ,kg,,7.98 ,
1476,0.99,2.20 /kg,Calabacin en dados congelado Carrefour 450 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408, 450 g.,2.20 ,kg,,2.20 ,
1477,2.55,2.55 /ud,Pan payes grande Hecho aqui Carrefour 800 gTipo de corte:Rebanada fina,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408, 800 g,2.55 ,ud,,2.55 ,
1478,1.19,0.30 /ud,Mollete de Antequera mediano De Nuestra Tierra 4 ud,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408, 4 ud,0.30 ,ud,,0.30 ,
1479,2.6,2.60 /kg,Jamoncitos de pollo congelado 1 kg,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408, 1 kg,2.60 ,kg,,2.60 ,
1480,1.99,3.98 /kg,Cocktail de picos Carrefour El Mercado 500 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408, 500 g,3.98 ,kg,,3.98 ,
1481,1.35,1.93 /kg,Sobaos mini Classic' Carrefour 700 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408, 700 g.,1.93 ,kg,,1.93 ,
1482,0.8,2.96 /kg,Pan tostado integral Carrefour 270 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408, 270 g.,2.96 ,kg,,2.96 ,
1483,1.89,3.78 /kg,Uva blanca sin pepitas Carrefour bandeja de 500 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408, 500 g,3.78 ,kg,,3.78 ,
1484,1.45,2.90 /kg,Judia verde plana Cat 1ªmalla 500 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408, 500 g,2.90 ,kg,,2.90 ,
1485,1.49,7.45 /kg,Guacamole Carrefour 200 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408, 200 g,7.45 ,kg,,7.45 ,
1486,3.45,7.19 /kg,Medallones de merluza argentina congelados Carrefour 480 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432, 480 g.,7.19 ,kg,,7.19 ,
1487,5.37,17.90 /kg,Queso manchego de oveja curado De Nuestra Tierra cuna 1/8 300 g aprox,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432, 300 g aprox,17.90 ,kg,,1,
1488,1.38,13.80 /kg,Queso rallado filatto especial pasta El Caserio 100 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432, 100 g.,13.80 ,kg,,1,
1489,1.8,6 /kg,Queso rallado mozzarella Margui sin gluten 300 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432, 300 g.,6 ,kg,,6 ,
1490,1.99,9.95 /kg,Mini tostadas Carrefour 200 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432, 200 g.,9.95 ,kg,,9.95 ,
1491,1.7,9.44 /kg,Queso azul semicurado Carrefour cuna de 180 g ,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432, 180 g ,9.44 ,kg,,9.44 ,
1492,2.79,13.61 /kg,Ensalada completa Cesar con pollo y queso Florette 205 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432, 205 g,13.61 ,kg,,1,
1493,2.57,5.15 /kg,Jamoncitos de pollo certificado Carrefour 500 g aprox,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432, 500 g aprox,5.15 ,kg,,5.15 ,
1494,2.07,17.25 /kg,Jamon serrano reserva finas lonchas Carrefour sin lactosa 120 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432, 120 g.,17.25 ,kg,,1,
1495,2.23,4.96 /kg,Hogaza de masa madre The Rustik Bakery 450 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432, 450 g.,4.96 ,kg,,4.96 ,
1496,4.89,10.87 /kg,Pate de higado de cerdo Tapa Negra La Piara pack de 6 unidades de 75 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432, 6 unidades de 75 g.,10.87 ,kg,,1,
1497,1.37,6.09 /kg,Mortadela con aceitunas lonchas El Pozo sin gluten 225 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432, 225 g.,6.09 ,kg,,6.09 ,
1498,2.89,5.78 /kg,Kiwi ecologico 500 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432, 500 g,5.78 ,kg,,5.78 ,
1499,1.77,4.42 /kg,Queso fundido 24 porciones Carrefour Kids 400 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432, 24 porciones Carrefour Kids 400 g.,4.42 ,kg,,4.42 ,
1500,1.29,2.58 /kg,Remolacha cocina al vacio Bio 500 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432, 500 g,2.58 ,kg,,2.58 ,
1501,2.05,4.56 /kg,Pan de molde integral sin corteza Bimbo Silueta 450 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432, 450 g.,4.56 ,kg,,4.56 ,
1502,2.35,13.82 /kg,Jamon de pavo cocido trufado con boletus Receta Artesana El Pozo sin gluten y son lactosa 170 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432, 170 g,13.82 ,kg,,1,
1503,1.45,7.25 /kg,Pechuga de pavo reducido en sal en finas lonchas Carrefour 200 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432, 200 g,7.25 ,kg,,7.25 ,
1504,2.19,5.47 /kg,Preparado de marisco para paella Carrefour 400 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432, 400 g.,5.47 ,kg,,5.47 ,
1505,4.15,10.37 /kg,Filetes de merluza sin piel Pescanova 400 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432, 400 g.,10.37 ,kg,,1,
1506,2.69,1.34 /kg,Patatas para asar Carrefour 2 Kg,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432, 2 Kg,1.34 ,kg,,1.34 ,
1507,2.75,16.18 /kg,Jamon cocido Campofrio Finissimas sin gluten 170 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432, 170 g.,16.18 ,kg,,1,
1508,1.89,3.78 /kg,Uva blanca sin pepitas Carrefour bandeja de 500 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432, 500 g,3.78 ,kg,,3.78 ,
1509,1.45,2.90 /kg,Judia verde plana Cat 1ªmalla 500 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432, 500 g,2.90 ,kg,,2.90 ,
1510,1.49,7.45 /kg,Guacamole Carrefour 200 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432, 200 g,7.45 ,kg,,7.45 ,
1511,1.99,3.98 /kg,Tomate pera ecologico Carrefour Bio 500 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456, 500 g,3.98 ,kg,,3.98 ,
1512,0.99,0.08 /ud,Panecillo integral de trigo 30% 12 ud.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456, 12 ud.,0.08 ,ud,,0.08 ,
1513,5.45,54.50 /kg,Jamon de cebo iberico 50% raza iberica 100 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456, 100 g,54.50 ,kg,,1,
1514,1.26,25.20 /kg,Mini fuet Snack'in Campofrio 50 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456, 50 g.,25.20 ,kg,,1,
1515,2.79,3.72 /kg,Puerro ecologico manojo de500 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456,,3.72 ,kg,,3.72 ,
1516,1.1,1.10 /kg,Espinacas cortadas Carrefour 1 kg.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456, 1 kg.,1.10 ,kg,,1.10 ,
1517,1.79,8.95 /kg,Bacon ahumado cocido 200 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456, 200 g,8.95 ,kg,,8.95 ,
1518,1.35,6.75 /kg,Kale Carrefour 200 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456, 200 g,6.75 ,kg,,6.75 ,
1519,0.99,3.09 /kg,Napolitanas rellenas de chocolate Classic' Carrefour 320 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456, 320 g.,3.09 ,kg,,3.09 ,
1520,2.09,13.93 /kg,Queso rallado mozzarella y provolone Miraflores 150 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456, 150 g.,13.93 ,kg,,1,
1521,1.15,0.29 /ud,Berlinas bombon Carrefour 4 ud,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456, 4 ud,0.29 ,ud,,0.29 ,
1522,1.89,13.50 /kg,Pechuga de pollo al natural en tiras Carrefour sin gluten 140 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456, 140 g.,13.50 ,kg,,1,
1523,1.5,12.50 /kg,Jamon cocido extra en lonchas Edicion 1954 ElPozo sin gluten sin lactosa 120 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456, 1954 ElPozo sin gluten sin lactosa 120 g.,12.50 ,kg,,1,
1524,5.99,12.48 /kg,Barritas de surimi 480 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456, 480 g,12.48 ,kg,,1,
1525,1.65,8.25 /kg,Pechuga de pavo cocida en finas lonchas Carrefour sin gluten y sin lactosa 200 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456, 200 g,8.25 ,kg,,8.25 ,
1526,0.99,14.14 /kg,Chorizo Lonchas Revilla 70 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456, 70 g.,14.14 ,kg,,1,
1527,3.15,21 /kg,Pate de pato superior Martiko sin gluten pack de 2 unidades de 75 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456, 2 unidades de 75 g.,21 ,kg,,21 ,
1528,2.2,4.90 /kg,Filete de jamon de cerdo Carrefour 450 g aprox,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456, 450 g aprox,4.90 ,kg,,4.90 ,
1529,1.79,1.79 /kg,Clementina caja Circulo de Calidad a granel 1 kg aprox,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456, 1 kg aprox,1.79 ,kg,,1.79 ,
1530,3.45,11.50 /kg,Fuet casero El Pozo pack de 2 unidades de 150 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456, 2 unidades de 150 g.,11.50 ,kg,,1,
1531,3.75,15 /kg,Bacalao desalado desmigado Carrefour 250 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456, 250 g.,15 ,kg,,15 ,
1532,1.0,11.76 /kg,Pechuga de pavo en finas lonchas El Pozo Bienstar 85 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456, 85 g.,11.76 ,kg,,1,
1533,1.06,8.48 /kg,Grissini con aceite de oliva Carrefour 125 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456, 125 g.,8.48 ,kg,,8.48 ,
1534,1.89,3.78 /kg,Uva blanca sin pepitas Carrefour bandeja de 500 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456, 500 g,3.78 ,kg,,3.78 ,
1535,1.45,2.90 /kg,Judia verde plana Cat 1ªmalla 500 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456, 500 g,2.90 ,kg,,2.90 ,
1536,1.49,7.45 /kg,Guacamole Carrefour 200 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456, 200 g,7.45 ,kg,,7.45 ,
1537,1.98,4.95 /kg,Pimiento rojo ecologico Carrefour Bio 400 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=480, 400 g,4.95 ,kg,,4.95 ,
1538,0.56,7.47 /kg,Picatostes fritos sabor a ajo Carrefour 75 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=480, 75 g.,7.47 ,kg,,7.47 ,
1539,3.84,7.69 /kg,Costilla troceada de cerdo Circulo de Calidad 500 g aprox,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=480, 500 g aprox,7.69 ,kg,,7.69 ,
1540,2.2,12.94 /kg,Fuet extra Sabores de la Garrotxa pieza Embutidos Noel 175 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=480, 175 g,12.94 ,kg,,1,
1541,0.76,3.45 /kg,Pan Burger 4 de unidades Carrefour 4 ud.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=480, 4 de unidades Carrefour 4 ud.,3.45 ,kg,,3.45 ,
1542,0.99,7.92 /kg,Pate a las finas hierbas Casa Tarradellas sin gluten 125 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=480, 125 g.,7.92 ,kg,,7.92 ,
1543,7.5,15 /kg,Almeja marinera fresca 500 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=480, 500 g,15 ,kg,,15 ,
1544,2.25,2.25 /kg,Acelgas manojo de 1 kg,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=480, 1 kg,2.25 ,kg,,2.25 ,
1545,1.74,5.80 /kg,Pan hamburguesa Maxi Burguer Bimbo 4 ud.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=480, 4 ud.,5.80 ,kg,,5.80 ,
1546,3.05,4.69 /kg,Longaniza blanca de cerdo fresca ElPozo 650 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=480, 650 g,4.69 ,kg,,4.69 ,
1547,0.85,3.40 /kg,Mortadela en lonchas Carrefour sin gluten 250 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=480, 250 g.,3.40 ,kg,,3.40 ,
1548,3.49,34.90 /kg,Salmon ahumado ecologico Carrefour Bio 100 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=480, 100 g.,34.90 ,kg,,1,
1549,0.71,2.37 /kg,Pan maxi burguer 300 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=480, 300 g.,2.37 ,kg,,2.37 ,
1550,3.09,9.09 /kg,Pechuga de pavo sin gras El Pozo Bienstar sin gluten sin lactosa 340 gh.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=480, 340 gh.,9.09 ,kg,,9.09 ,
