,precio_anterior,precio,precio_rel_ojo,producto,gluten,lactosa,link
28,"
2,85 €","2,69 €","7,12 €/kg
 | 
6,72 €/kg",Peskitos Pescanova 400 g.,Ver productos de la promocion,"Agotado temporalmente
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=264
29,"
1,66 €","3,69 €/l",Mayonesa Ybarra sin gluten y sin lactosa tarro 450 ml.,Sin gluten,Sin lactosa,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=264
30,"
2,64 €","2,50 €","8,80 €/kg
 | 
8,33 €/kg",Figuritas de mazapan Carrefour Sensation 300 g.,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=264
31,"
1,54 €","3,85 €/kg",Harina de maiz fina Maizena sin gluten 400 g.,Sin gluten,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=288
32,"
3,29 €","3,15 €","13,16 €/kg
 | 
12,60 €/kg",Mantequilla facil de untar President 250 g.,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=288
33,"
4,05 €","3,75 €","4,05 €/kg
 | 
3,75 €/kg",Arroz bomba Sos 1 kg.,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=288
34,"
0,69 €","1,15 €/kg",Gelatina sabor fresa jellies Carrefour sin gluten pack de 6 unidades de 100 g.,Sin gluten,Sin lactosa,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=312
35,"
2,29 €","5,20 €/kg",Yogur griego sabor lima limon Danone Oikos sin gluten pack de 4 unidades de 110 g.,Sin gluten,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=312
36,"
1,20 €","1,14 €","4,62 €/kg
 | 
4,38 €/kg",Arroz con leche Danone sin gluten pack de 2 unidades de 130 g.,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=312
37,"
5,99 €","4,28 €/kg",Yogur L.Casei liquido natural Danone Actimel pack de 14 unidades de 100 g.,Sin gluten,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=312
38,"
1,99 €","11,06 €/kg",Nachos sabor original Doritos Dippas sin gluten y sin lactosa 180 g.,Sin gluten,Sin lactosa,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=312
39,"
1,69 €","3,93 €/kg",Lentejas a la riojana Litoral sin gluten y sin lactosa 430 g.,Sin gluten,Sin lactosa,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=336
40,"
1,99 €","5,10 €/kg",Cacao soluble instantaneo Nestle Nesquik sin gluten y sin lactosa 390 g.,Sin gluten,Sin lactosa,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=360
