,precio,precio/kg,producto,anadir,none,link,m,k,s
384,"
0,99 €","2,15 €/kg",Pan de molde cereales y semillas Carrefour 460 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=192,,,,
385,"
4,48 €","14,95 €/kg",Lomo de atún 300 g aprox,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=192,,,,
386,"
1,54 €","5,50 €/kg",Masa para empanadillas y postres Buitoni sin lactosa 280 g.,Sin lactosa,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=192,,,
387,"
1,91 €","1,78 €","16,61 €/kg
 | 
15,48 €/kg",Pechuga de Pavo braseada Campofrío Finissimas 115 g.,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=192,,
388,"
4,59 €","11,47 €/kg",Filete de bacalao procedente de pesca sostenible al punto de sal ultracongelado Carrefour 400 g.,Congelado,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=192,,,
389,"
2,84 €","6,76 €/kg",Aguacate ecológico 420 g,Bio,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=192,,,
390,"
1,65 €","1,65 €/kg",Manzana granny smith a granel 1 Kg aprox,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=192,,,,
391,"
1,39 €","9,27 €/kg",Queso tierno provolone con orégano Carrefour 150 g,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=192,,,,
392,"
2,81 €","11,24 €/kg",Frambruesa Carrefour 250 g,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=216,,,,
393,"
0,20 €","0,45 €/kg",Carcasa de pollo Carrefour 450 g aprox,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=216,,,,
394,"
2,99 €","2,99 €/ud",Carne picada de pollo Carrefour 400 g,Sin gluten,Sin lactosa,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=216,,
395,"
2,29 €","15,27 €/kg",Queso rallado 4 quesos especial gratinar El Caserío 150 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=216,,,,
396,"
2,09 €","8,04 €/kg",Masa para pizza Finissima Buitoni sin lactosa 260 g.,Sin lactosa,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=216,,,
397,"
2,09 €","2,90 €/kg",Pan tostado integral Carrefour 720 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=216,,,,
398,"
2,12 €","12,47 €/kg",Lacón cocido y ahumado extra cortado a mano sin gluten y sin lactosa 150 g,Sin gluten,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=216,,,
399,"
0,67 €","1,67 €/kg",Espinacas cortadas en porciones Carrefour 400 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=216,,,,
400,"
5,12 €","12,20 €/kg","Queso semicurado mezcla García Baquero cuña 1/8, 420 g aprox","Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=240,,,,
401,"
1,79 €","4,47 €/kg",Calabaza troceada ecológica Carrefour Bio 400 g,Bio,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=240,,,
402,"
0,65 €","0,65 €/kg",Ensaladilla Carrefour Classic' 1 kg.,Congelado,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=240,,,
403,"
1,20 €","1,20 €/kg",Brocoli Carrefour 1 kg.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=240,,,,
404,"
0,47 €","1,88 €/kg",Barra de pan pistola Carrefour 250 g,Sin lactosa,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=240,,,
405,"
0,75 €","3,75 €/kg",Perejil manojo de 150 g,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=240,,,,
406,"
0,56 €","7,47 €/kg",Picatostes fritos sabor clásico Carrefour 75 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=240,,,,
407,"
2,72 €","5,45 €/kg",Chuleta de pavo Carrefour 500 g aprox,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=240,,,,
408,"
3,19 €","8,86 €/kg",Burger Meat de vacuno de Extremadura El Encinar de Humienta sin lactosa 2x180 g,Sin lactosa,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=264,,,
409,"
1,87 €","3,75 €/kg",Pera conferencia premium 500 g aprox,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=264,,,,
410,"
3,39 €","13,56 €/kg",Chorizo casero extra sarta Palacios 250 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=264,,,,
411,"
0,99 €","1,98 €/kg",Queso fresco batido 0% m.g Carrefour 500 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=264,,,,
412,"
2,58 €","4,30 €/kg",Morcilla de Burgos Embutidos Ríos 660 g,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=264,,,,
413,"
1,99 €","9,26 €/kg",Ensalada césar Carrefour 215 g,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=264,,,
414,"
21 €","10,50 €/kg",Gambón crudo grande Carrefour 2 kg.,Congelado,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=264,,,
415,"
3,49 €","14,54 €/kg",Jamón serrano reserva en lonchas entera Carrefour sin lactosa 240 g.,Sin lactosa,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=264,,,
416,"
1,80 €","14,40 €/kg","Lomo embuchado en lonchas Carrefour sin gluten sin lactosa pack de 4 unidades de 31,25 g.",Sin gluten,Sin lactosa,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=288,,
417,"
0,75 €","3,41 €/kg",Ensaimada Carrefour 220 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=288,,,,
418,"
4,19 €","4,19 €/kg",Aguacate hass Carrefour a granel 1 kg,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=288,,,,
419,"
2,98 €","1,99 €/kg","Piña del Monte premium pieza 1,5 Kg aprox","Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=288,,,,
420,"
0,93 €","3,72 €/kg","Queso fresco desnatado de Burgos Carrefour pack de 4 unidades de 62,5 g.","Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=288,,,,
421,"
0,89 €","5,56 €/kg",Masa para empanadillas y postres Buitoni sin lactosa 160 g.,Sin lactosa,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=288,,,
422,"
0,99 €","4,95 €/kg",Salchichas cocidas estilo Viena Wieners con queso Oscar Mayer 200 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=288,,,,
423,"
3,20 €",10 €/kg,Pechuga de pavo fileteada marinada al ajillo Carrefour sin gluten y sin lactosa 320 g aprox,Sin gluten,Sin lactosa,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=288,,
424,"
2,18 €","3,11 €/kg",Magdalena valenciana Classic' Carrefour 700 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=312,,,,
425,"
2,25 €","11,25 €/kg",Jamón cocido extra en lonchas El Pozo sin lactosa 200 g.,Sin lactosa,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=312,,,
426,"
1,09 €","4,36 €/kg",Tomate cherry pera ecológico Carrefour Bio 250 g,Bio,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=312,,,
427,"
1 €","2,50 €/kg",Pan Carrefour 5 ud,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=312,,,,
428,"
1,84 €","3,68 €/kg",Boniato ecológico 650 g,Bio,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=312,,,
429,"
4,69 €","4,24 €","9,39 €/kg
 | 
8,49 €/kg",Filete 1ªA de vacuno 500 g aprox,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=312,,,
430,"
2,29 €","3,05 €/kg",Manzana golden ecológica bandeja 4 ud 750 g,Bio,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=312,,,
431,"
2,29 €","18,32 €/kg",Arándanos ecológicos 125 g,Bio,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=312,,,
432,"
3,28 €","21,90 €/kg","Centro jamón serrano Gran Reserva Carrefour al corte 150 g aprox
Tipo de corte:
Loncha fina 1mm",Loncha gruesa 3/4mm,Loncha normal 2/3mm,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=336,,
433,"
2,99 €","0,75 €/ud",Kiwi selecta Zespri bandeja 4 ud 500 g aprox,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=336,,,,
434,"
1,90 €",19 €/kg,"Mini taquitos de jamón curado Espuña 2x50g, 100 g","Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=336,,,,
435,"
3,98 €","3,49 €","9,95 €/kg
 | 
8,72 €/kg",Picada de vacuno ecológico Carrefour Bio 400 g,Bio,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=336,,
436,"
0,82 €","3,28 €/kg",Crackers integrales Carrefour 250 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=336,,,,
437,"
5,05 €","14,03 €/kg",Lomos de merluza ultracongelados Pescanova 400 g.,Congelado,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=336,,
438,"
2,79 €","13,95 €/kg",Queso grana padano D.O.P. Carrefour 200 g,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=336,,,,
439,"
1,39 €","3,47 €/kg",Apio verde 400 g,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=336,,,,
440,"
4,99 €","4,99 €/ud",Empanada rectangular de atún 700 g,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360,,,
441,"
2,44 €","6,50 €/kg",Queso mezcla tierno Carrefour 375 g aprox,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360,,,
442,"
1,12 €","11,20 €/kg",Taquitos de chorizo extra Carrefour sin gluten 100 g.,Sin gluten,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360,,,
443,"
3,25 €","4,64 €/kg",Butifarra fresca extra de cerdo enrollada Carrefour 700 g,Sin gluten,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360,,,
444,"
8,99 €","29,97 €/kg",Lomo de salmón congelado Friusa 300 g,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360,,,,
445,"
1,99 €","1,99 €/ud",Nuggets de pollo 320 g,Sin gluten,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360,,,
446,"
1,61 €","4,03 €/kg",Cortes de alcachofa Carrefour 400 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360,,,,
447,"
4,39 €","10,97 €/kg",Chorizo oreado sin aditivos Carrefour 400 g,Sin gluten,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360,,,
448,"
1,58 €","12,64 €/kg",Queso de untar Crème de Camembert Président 125 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384,,,,
449,"
2,79 €","13,61 €/kg",Ensalada completa César con pollo y queso Florette 205 g,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384,,,,
450,"
1,15 €","57,50 €/kg",Cilantro cortado Carrefour 20 g,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384,,,,
451,"
6,40 €",32 €/kg,Queso parmesano reggiano D.O.P. Parmeggio Hispano Italiana 200 g,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384,,,,
452,"
1,29 €","7,17 €/kg",Palitos de pan con pipas Carrefour pack de 2x90 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384,,,,
453,"
1,15 €","57,50 €/kg",Albahaca cortada Carrefour 20 g,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384,,,,
454,"
3,35 €","6,70 €/kg",Constramuslo de pavo fileteado Carrefour 500 g aprox,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384,,,,
455,"
0,99 €","2,47 €/kg",Patata baby al vapor para microondas El Mercado Carrefour bolsa de 400 g,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384,,,,
456,"
2,90 €","2,90 €/kg",Alas de pollo congeladas 1 kg,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408,,,,
457,"
3,45 €","7,19 €/kg",Medallones de merluza argentina congelados Carrefour 480 g.,Congelado,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408,,,
458,"
1,59 €","6,36 €/kg",Cebolla echalotte Carrefour 250 g,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408,,,,
459,"
1,44 €","3,20 €/kg",Pan rústico Carrefour 450 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408,,,,
460,"
2,99 €","2,99 €/kg",Alcachofas 1 kg aprox,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408,,,,
461,"
2,30 €","9,20 €/kg",Queso emmental taco Carrefour 250 g,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408,,,,
462,"
1,30 €","2,32 €/kg",Salchichas con queso fundido estilo frankfurt Carrefour pack de 4 sobres de 140 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408,,,,
463,"
0,99 €","0,99 €/kg",Judía troceada Carrefour 1 kg.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408,,,,
464,"
2,09 €","13,93 €/kg",Queso rallado mozzarella y provolone Miraflores 150 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432,,,,
465,"
5,37 €","17,90 €/kg",Queso manchego de oveja curado De Nuestra Tierra cuña 1/8 300 g aprox,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432,,,
466,"
1,89 €","6,75 €/kg",Chorizo sarta extra dulce Carrefour sin gluten y sin lactosa 280 g,Sin gluten,Sin lactosa,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432,,
467,"
2,05 €","4,56 €/kg",Pan de molde integral sin corteza Bimbo Silueta 450 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432,,,,
468,"
2,99 €","8,31 €/kg",Hamburguesa mini de añojo Calidad y Origen Carrefour 360 g,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432,,,
469,"
3,09 €","7,72 €/kg",Jamón cocido extra lonchas finas Carrefour pack de 2 unidades de 200 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432,,,,
470,"
1,65 €","8,25 €/kg",Pechuga de pavo cocida en finas lonchas Carrefour sin gluten y sin lactosa 200 g,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432,,,,
471,"
2,60 €","2,60 €/kg",Jamoncitos de pollo congelado 1 kg,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=432,,,,
472,"
1,89 €","13,50 €/kg",Pechuga de pollo al natural en tiras Carrefour sin gluten 140 g.,Sin gluten,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456,,,
473,"
1,95 €","3,90 €/kg",Sardina 500 g aprox,- Sin entrega: lunes ni lunes,"Tipo de corte:
Entero",Entero limpio,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456,
474,"
2,07 €","17,25 €/kg",Jamón serrano reserva finas lonchas Carrefour sin lactosa 120 g.,Sin lactosa,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456,,,
475,"
0,99 €","3,09 €/kg",Napolitanas rellenas de chocolate Classic' Carrefour 320 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456,,,,
476,"
3,09 €","9,09 €/kg",Pechuga de pavo sin gras El Pozo Bienstar sin gluten sin lactosa 340 gh.,Sin gluten,Sin lactosa,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456,,
477,"
1,19 €","0,30 €/ud",Mollete de Antequera mediano De Nuestra Tierra 4 ud,Sin lactosa,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456,,,
478,"
3,45 €","11,50 €/kg",Fuet casero El Pozo pack de 2 unidades de 150 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456,,,,
479,"
1,63 €","7,24 €/kg",Mortadela de pavo en lonchas El Pozo sin gluten 225 g.,Sin gluten,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456,,,
480,"
0,99 €","14,14 €/kg",Chorizo Lonchas Revilla 70 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=480,,,,
481,"
1,99 €","3,98 €/kg",Hogaza de pan natural 100% rebanada 500 g,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=480,,,,
482,"
1,35 €","6,75 €/kg",Kale Carrefour 200 g,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=480,,,,
483,"
0,75 €","2,50 €/kg",Baguette precocida Carrefour pack de 2 unidades de 150 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=480,,,,
484,"
1,15 €","0,29 €/ud",Berlinas de azúcar Carrefour 4 ud,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=480,,,,
485,"
1,45 €","7,25 €/kg",Pechuga de pavo reducido en sal en finas lonchas Carrefour 200 g,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=480,,,,
486,"
1,25 €","0,99 €","2,98 €/kg
 | 
2,36 €/kg",Pan de chapata Gourmet Carrefour 380 g,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=480,,,
487,"
3,22 €","8,59 €/kg",Queso fundido en porciones La Vaca Que Rie sin gluten 375 g.,Sin gluten,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=480,,,
488,"
1,65 €",6 €/kg,"Verduras para micro brócoli, zanahoria y coliflor Florette 275 g","Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=504,,,,
489,"
2,75 €",22 €/kg,Queso mozzarella di bufala campana Galbani 125 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=504,,,,
490,"
2,99 €","8,54 €/kg",Lasaña boloñesa Carrefour 350 g,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=504,,,,
491,"
1,06 €","8,48 €/kg",Grissini con aceite de oliva Carrefour 125 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=504,,,,
492,"
7,50 €",15 €/kg,Almeja marinera fresca 500 g,- Sin entrega: lunes,"
Ver productos de la promoción","Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=504,,
493,"
2,67 €","5,35 €/kg",Papaya 500 g aprox,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=504,,,,
494,"
13,99 €","11,89 €","13,99 €/kg
 | 
11,89 €/kg","Chuletón de vacuno 1 Kg aprox
Tipo de corte:
Filete grueso 2 cm",Filete normal 1 cm,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=504,,
495,"
2,15 €","6,14 €/kg",Salchichas cocidas Jumbo Classic Oscar Mayer 350 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=504,,,,
496,"
1,65 €",11 €/kg,Lechuga trocadero Carrefour 150 g,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=528,,,,
497,"
1,50 €","3,75 €/kg",Tortillas de trigo integral Carrefour Sensation sin aceite de palma 10 ud.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=528,,,,
498,"
0,79 €","1,97 €/kg",Zanahoria baby Carrefour 400 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=528,,,,
499,"
1,95 €","8,12 €/kg",Hamburguesa de pollo y zanahoria Carrefour 240 g,Sin gluten,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=528,,,
500,"
4,71 €","4,22 €","7,25 €/kg
 | 
6,49 €/kg",Lomo de cerdo al ajillo fileteado Carrefour 650 g aprox,Sin gluten,Sin lactosa,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=528,
501,"
1,65 €","6,47 €/kg",Bocadito de pan de hamburguesa 255 g,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=528,,,,
502,"
2,20 €","4,89 €/kg",Hogaza de cereales The Rustik Bakery 450 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=528,,,,
503,"
1,99 €","1,99 €/kg",Manzana reineta verde a granel 1 Kg aprox,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=528,,,,
504,"
0,70 €","2,59 €/kg",Pan tostado clásico Carrefour 270 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=552,,,,
505,"
1,60 €","5,71 €/kg","Flautas de pavo, pollo y queso Mesana 280 g","Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=552,,,,
506,"
149 €",119 €,"19,87 €/kg
 | 
15,87 €/kg",Jamón de cebo ibérico 50% raza ibérica Legado Ibérico Serie Oro ElPozo 7Kg aprox ,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=552,,,
507,"
2,65 €","17,67 €/kg",Queso lonchas García Baquero sin lactosa 150 g.,Sin lactosa,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=552,,,
508,"
0,57 €","2,85 €/kg",Salchichas cocidas y ahumadas estilo Viena Carrefour 200 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=552,,,,
509,"
1,39 €","1,85 €/kg",Zanahoriamanojo de 750 g,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=552,,,,
510,"
1,35 €","5,40 €/kg",Judía fina flow pack250 g,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=552,,,,
511,"
6,45 €","16,12 €/kg",Filete de salmón salvaje congelado 400 g.,Congelado,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=552,,,
512,"
1,40 €","2,80 €/kg",Queso fresco batido desnatado Proteína Plus Carrefour 500 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=576,,,,
513,"
1,60 €","1,60 €/ud",Flautas de bacon y queso Mesana 280 g,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=576,,,,
514,"
1,06 €","4,42 €/kg",Bollo con pepitas de chocolate Classic' Carrefour 240 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=576,,,,
515,"
2,70 €","1,35 €/kg",Naranja Círculo de Calidad2 Kg,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=576,,,,
516,"
1,79 €","8,95 €/kg",Jamón cocido exxtra en lonchas finas Carrefour sin gluten y sin lactosa 200 g,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=576,,,,
517,"
1,83 €","7,32 €/kg",Queso fundido en porciones El Caserío 250 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=576,,,,
518,"
0,69 €","2,03 €/kg",Sobaos mini Classic' Carrefour 340 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=576,,,,
519,"
3,25 €","16,25 €/kg",Mousse pato medallón Aoste pack de 2 unidades de 100 g ,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=576,,,,
520,"
1,22 €","6,10 €/kg",Chorizo dulce sin gluten 200 g.,Sin gluten,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=600,,,
521,"
1,17 €","5,32 €/kg",Chistorra Carrefour sin gluten 220 g.,Sin gluten,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=600,,,
522,"
1,69 €","11,25 €/kg","Queso tierno barra Larsa al corte 150 g aprox
Tipo de corte:
Loncha fina 1mm",Loncha gruesa 3/4mm,Loncha normal 2/3mm,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=600,,
523,"
0,80 €",4 €/kg,Habas baby Carrefour 200 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=600,,,,
524,"
0,57 €","2,59 €/kg",Salchichas cocidas y ahumadas de pavo Carrefour 200 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=600,,,,
525,"
3,95 €","9,87 €/kg",Pimiento del piquillo relleno de bacalao congelados 400 g,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=600,,,,
526,"
2 €","3,33 €/kg",Salchichas BIG pavo El Pozo sin gluten pack de 3 unidades de 200 g.,Sin gluten,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=600,,,
527,"
1,89 €","12,60 €/kg",Regañá El Antequerano 150 g,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=600,,,,
528,"
3,54 €","14,75 €/kg",Jamón serrano reserva medias lonchas Carrefour sin lactosa pack de 2 unidades de 120 g.,Sin lactosa,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=624,,,
529,"
1,79 €","29,83 €/kg",Boquerón en vinagre 60 g,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=624,,,,
530,"
2,39 €","11,95 €/kg",Sobrasada de Mallorca etiqueta negra El Zagal 200 g.,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=624,,,,
531,"
2,09 €","8,36 €/kg",Finas del mar 200 g,"Añadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=624,,,,
