,producto,producto_1,otro,precio/kilo
27,"







                    Cebolla








-30%
						antes:
								1.65


					 1.15*


						1 kg = 0.58




                España.






            13.12. 
                    Disponible ",                    Cebolla-30%antes:1.65 1.15*1 kg = 0.58                España.            13.12.                     Disponible ,                    Cebolla-30%antes:1.65 1.15,1 kg = 0.58                España.            13.12.                     Disponible 
28,"







                    Patata








-33%
						antes:
								4.79


					 3.19*


						1 kg = 0.64




                Francia.






            16.12. 
                    Disponible ",                    Patata-33%antes:4.79 3.19*1 kg = 0.64                Francia.            16.12.                     Disponible ,                    Patata-33%antes:4.79 3.19,1 kg = 0.64                Francia.            16.12.                     Disponible 
29,"







                    Banana








-34%
						antes:
								1.05


					 0.69*












            16.12. 
                    Disponible ",                    Banana-34%antes:1.05 0.69*            16.12.                     Disponible ,                    Banana-34%antes:1.05 0.69,            16.12.                     Disponible 
30,"







                    Limón








-27%
						antes:
								1.79


					 1.29*





                España.






            16.12. 
                    Disponible ",                    Limón-27%antes:1.79 1.29*                España.            16.12.                     Disponible ,                    Limón-27%antes:1.79 1.29,                España.            16.12.                     Disponible 
31,"







                    Tomate rama ecológico








-30%
						antes:
								1.85


					 1.29*


						1 kg = 2.58




                Almería.






            16.12. 
                    Disponible ",                    Tomate rama ecológico-30%antes:1.85 1.29*1 kg = 2.58                Almería.            16.12.                     Disponible ,                    Tomate rama ecológico-30%antes:1.85 1.29,1 kg = 2.58                Almería.            16.12.                     Disponible 
32,"







                    Jengibre ecológico








-31%
						antes:
								1.29


					 0.89*


						100 g = 0.45




                Perú.






            16.12. 
                    Disponible ",                    Jengibre ecológico-31%antes:1.29 0.89*100 g = 0.45                Perú.            16.12.                     Disponible ,                    Jengibre ecológico-31%antes:1.29 0.89,100 g = 0.45                Perú.            16.12.                     Disponible 
33,"



",,,
34,"




                    Vino tinto DO Ribera Duer








-22%
						antes:
								8.99


					 6.99*


						1 l = 9.32




                Reserva.






            16.12. 
                    Disponible ",                    Vino tinto DO Ribera Duer-22%antes:8.99 6.99*1 l = 9.32                Reserva.            16.12.                     Disponible ,                    Vino tinto DO Ribera Duer-22%antes:8.99 6.99,1 l = 9.32                Reserva.            16.12.                     Disponible 
35,"







                    Volaverunt Vinto tinto








					 5.99*












            Compra ",                    Volaverunt Vinto tinto 5.99*            Compra ,                    Volaverunt Vinto tinto 5.99,            Compra 
36,"







                    Vino tinto DO Ribera Duero








-33%
						antes:
								4.49


					 2.99*


						1 l = 3.99




                Joven.






            16.12. 
                    Disponible ",                    Vino tinto DO Ribera Duero-33%antes:4.49 2.99*1 l = 3.99                Joven.            16.12.                     Disponible ,                    Vino tinto DO Ribera Duero-33%antes:4.49 2.99,1 l = 3.99                Joven.            16.12.                     Disponible 
37,"







                    Oristán® Vino tinto DO La Mancha








					 2.49*


						1 l = 3.32




                Crianza.






            Compra ",                    Oristán® Vino tinto DO La Mancha 2.49*1 l = 3.32                Crianza.            Compra ,                    Oristán® Vino tinto DO La Mancha 2.49,1 l = 3.32                Crianza.            Compra 
38,"







                    Prior de Neo® Vino tinto








					 8.99*


						100 ml = 11.99




                DO Ribera de Duero.






            Compra ",                    Prior de Neo® Vino tinto 8.99*100 ml = 11.99                DO Ribera de Duero.            Compra ,                    Prior de Neo® Vino tinto 8.99,100 ml = 11.99                DO Ribera de Duero.            Compra 
39,"







                    Gamellón® Vino tinto DO Jumilla








					 2.49*


						100 ml = 3.32




                Joven.






            Compra ",                    Gamellón® Vino tinto DO Jumilla 2.49*100 ml = 3.32                Joven.            Compra ,                    Gamellón® Vino tinto DO Jumilla 2.49,100 ml = 3.32                Joven.            Compra 
40,"







                    Adaras Aldea® Vino tinto ecológico








					 5.46*


						1 l = 7.28




                DO Almansa, roble.






            Compra ","                    Adaras Aldea® Vino tinto ecológico 5.46*1 l = 7.28                DO Almansa, roble.            Compra ",                    Adaras Aldea® Vino tinto ecológico 5.46,"1 l = 7.28                DO Almansa, roble.            Compra "
41,"







                    Irrepetible® Vino blanco DO Manchuela








					 3.99*


						100 ml = 5.32











            Compra ",                    Irrepetible® Vino blanco DO Manchuela 3.99*100 ml = 5.32            Compra ,                    Irrepetible® Vino blanco DO Manchuela 3.99,100 ml = 5.32            Compra 
42,"







                    Fincas del lebrel® Vino tinto DOCa Rioja








					 3.49*


						1 l = 4.66




                Tempranillo.






            Compra ",                    Fincas del lebrel® Vino tinto DOCa Rioja 3.49*1 l = 4.66                Tempranillo.            Compra ,                    Fincas del lebrel® Vino tinto DOCa Rioja 3.49,1 l = 4.66                Tempranillo.            Compra 
43,"







                    Hachón® Vino blanco DO Rueda








					 1.89*


						1 l = 2.52




                Verdejo viura.






            Compra ",                    Hachón® Vino blanco DO Rueda 1.89*1 l = 2.52                Verdejo viura.            Compra ,                    Hachón® Vino blanco DO Rueda 1.89,1 l = 2.52                Verdejo viura.            Compra 
44,"







                    Vespral® Vino tinto DO Terra Alta








					 2.29*


						1 l = 3.06




                Reserva.






            Compra ",                    Vespral® Vino tinto DO Terra Alta 2.29*1 l = 3.06                Reserva.            Compra ,                    Vespral® Vino tinto DO Terra Alta 2.29,1 l = 3.06                Reserva.            Compra 
45,"







                    Fino Donceles® Vino blanco DO Montilla-Morile








					 2.15*


						1 l = 2.87




                Moriles.






            Compra ",                    Fino Donceles® Vino blanco DO Montilla-Morile 2.15*1 l = 2.87                Moriles.            Compra ,                    Fino Donceles® Vino blanco DO Montilla-Morile 2.15,1 l = 2.87                Moriles.            Compra 
46,"



",,,
47,"




                    Crema facial luz azul








					 3.99*


						100 ml = 7.98











            Compra ",                    Crema facial luz azul 3.99*100 ml = 7.98            Compra ,                    Crema facial luz azul 3.99,100 ml = 7.98            Compra 
