,producto,precio,precio/kg,none
1307,                                      DIA galletas tradicionales artesanas caja 500 gr   1.25€      ,,,
1308,YBARRA coliflor natural FRASCO 400GR,1.75,4.38/Kg,
1309,"










					LAY'S patatas fritas gourmet bolsa 180 gr",2.28,12.67/Kg,
1310,DANONE ACTIVIA bífidus de ciruelas 0% M.G pack 4 unidades 120 gr,2.49,5.19/Kg,
1311,CORNY barrita de cereales con chocolate con leche caja 150 gr,1.79,11.93/Kg,
1312,"










					RISI risketos bolsa 120 gr",1.07,8.92/Kg,
1313,"










					DIA CAPRICHOSO arroz con leche pack 4 unidades 130 gr",1.09,2.10/Kg,
1314,"










					GALLINA BLANCA sofrito tomate y cebolla frasco 350 gr",1.79,5.11/Kg,
1315,EL MOLINO DE DIA magdalenas rellenas con cacao individuales bolsa 336 gr,1.15,3.42/Kg,
1316,"










					BONDUELLE guisantes muy finos pack 3 x 140 gr",2.79,6.64/Kg,
1317,OLD EL PASO tortillas de trigo bolsa 6 unidades 244 gr ,1.99,8.16/Kg,
1318,MARDEL dulce de leche frasco 450 gr,2.59,5.76/Kg,
1319,EL MOLINO DE DIA ensaimadas bolsa 220 gr,0.85,3.86/Kg,
1320,"










					NESTLE cereales fitness chocolate negro paquete 375 gr",2.99,7.97/Kg,
1321,NESTLE barritas de cereales nesquik estuche 150 gr,2.29,15.27/Kg,
1322,FINI golosinas surtidas tarrina 500 gr,3.29,6.58/Kg,
1323,DIA VITAL snack bañado en chocolate con leche multivitaminado caja 200 gr ,3.19,15.95/Kg,
1324,DIA rosquillas de chocolate estuche 4 uds 240 gr,1.35,5.63/Kg,
1325,"










					GULLON galleta digestive avena chocolate paquete 425 grs",1.85,4.35/Kg,
1326,CODAN conchas de chocolate caja 330 gr,1.85,5.61/Kg,
1327,CARRETILLA yemas de espárragos gruesos lata 135 gr,3.59,26.59/Kg,
1328,ROYAL para preparar pastel Oreo Cake 8 raciones estuche 215 grs,3.29,15.30/Kg,
1329,DIA maravillas de mar al ajillo lata 50 gr,1.25,25.00/Kg,
1330,GREFUSA pipas G con sal bolsa 165 gr,1.59,9.64/Kg,
1331,MILKA chocolate relleno de caramelo y avellanas tableta 300 gr,2.99,"9.97/Kg.
","		2ª UD 50%



"
1332,LU PRINCIPE Estrellas galletas rellenas de chocolate con leche paquete 225g,2.09,9.29/Kg,
1333,LU PRINCIPE Estrellas. galletas rellenas de chocolate blanco paquete 225 grs,2.09,9.29/Kg,
1334,"










					GALLO espaguetis al huevo paquete 450 gr",1.75,3.89/Kg,
1335,DIA yogur sabores multipack 16 uds,1.95,0.98/Kg,
1336,DANONE ACTIMEL yogur líquido fresa-plátano pack 6 unidades 100 gr,2.99,4.98/Kg,
1337,"










					LA BELLA EASO weikis chocolate con leche bolsa 240 gr",1.99,8.29/Kg,
1338,"










					HELLMANN'S gran mayonesa frasco 450 ml ",1.99,4.42/l,
1339,LUENGO garbanzos cocidos frasco 400 gr ,0.99,2.47/Kg,
1340,"










					HIDA tomate frito casero lata 340GR",0.99,2.91/Kg,
1341,"










					NOCILLA crema de cacao original vaso 180 gr",2.15,11.94/Kg,
1342,NOCILLA Duo crema de cacao vaso 180 gr,2.15,11.94/Kg,
1343,DIA L-CASEI yogur líquido fresa-plátano/coco-piña pack 12 unidades 100 gr,2.19,1.83/Kg,
1344,DIA AL PUNTO callos con garbanzos lata 380 gr,1.29,3.39/Kg,
1345,LUENGO alubias blancas paquete 1 kg ,2.99,2.99/Kg,
1346,SOLIS tomate frito estilo casero frasco 350 gr,1.69,4.83/Kg,
1347,SNATTS palitos trigo con pipas paquete 62 grs,0.95,15.32/Kg,
1348,PRIMA mayonesa botella 500 ml,1.79,4.48/l,
1349,DANONE DANACOL yogur líquido tropical pack 6 unidades 100 g,4.09,6.82/Kg,
1350,"










					COOSUR aceite  de oliva virgen extra hojiblanca botella 1 lt",5.99,5.99/l,
1351,DIA mayonesa con mostaza bote 300 ml,1.35,4.50/l,
1352,DIA magdalenas cuadradas envasadas individualmente bolsa 380 gr,0.99,2.83/Kg,
1353,EL MOLINO DE DIA magdalenas valencianas bolsa 350 gr,1.09,3.11/Kg,
1354,DIA medias noches bolsa 250 gr,1.45,5.80/Kg,
1355,"










					DIA cereales cuadrados con miel paquete 500 gr",1.69,3.38/Kg,
1356,DIA VITAL copos de avena paquete 500 gr,0.79,1.58/Kg,
1357,DIA salsa bechamel envase 500 ml,1.39,2.78/l,
1358,DIA CAPRICHOSO flan de vainilla pack 6 unidades 100 gr,0.69,1.15/Kg,
1359,DIA DELIMAGIC preparado para crepes bote 200 gr,1.49,7.84/Kg,
1360,DIA SELECCIÓN MUNDIAL vinagre balsámico de módena botella 50 cl,2.09,4.18/l,
1361,QÉ gofre paquete 120 gr,1.19,9.92/Kg,
1362,DIA patatas fritas campesina bolsa 150 gr,0.85,5.67/Kg,
1363,DIA patatas fritas onduladas jamon bolsa 150 gr ,0.89,5.93/Kg,
1364,DIA flan de huevo 0% M.G. pack 4 unidades 100 gr,1.39,3.47/Kg,
1365,DIA ALMAZARA DEL OLIVAR aceite oliva intenso garrafa 5 lt,15.75,3.15/l,
1366,ALIÑA TU DIA crema vinagre de módena botella 25 cl,2.05,8.20/l,
1367,FONTANEDA OSITO LULU bizcocho rellenas de chocolate paquete 150 gr,1.39,9.27/Kg,
1368,KINDER Bueno chocolate pack 3 unidades envase 129 gr,2.39,18.53/Kg,
1369,"DANI ajo molida frasco 55 gr
",1.35,24.55/Kg,
1370,DANI pimienta negra molida frasco 45 gr,1.49,33.11/Kg,
1371,DANI nuez moscada molida frasco 45 g,1.15,25.56/Kg,
1372,DIA edulcorante 850 comprimidos bote 50 gr ,1.15,23.00/Kg,
1373,DIA SUEÑOS gelatina de fresa pack 6 unidades 100 gr,0.85,1.42/Kg,
1374,"










					VALOR chocolate con leche y almendras 0% azúcares añadidos tableta 150 gr",3.19,21.27/Kg,
1375,"










					VALOR chocolate puro con almendras tableta 250 gr",3.00,12.00/Kg,
1376,DIA té negro earl grey estuche 25 bolsitas,1.15,1.15/ud,
1377,DIA MARI MARINERA berberechos al natural 60/90 piezas lata 63 gr,2.25,35.71/Kg,
1378,DIA galletas cookies con pepitas de chocolate 40% estuche 225 gr,0.89,3.96/Kg,
1379,KINDER Joy huevo sorpresa chocolate 3X60 GR,3.59,19.94/Kg,
1380,LA VIEJA FABRICA mermelada de melocoton frasco 350 gr,2.25,6.43/Kg,
1381,DIA cereales rellenos de leche paquete 500 gr,2.05,4.10/Kg,
1382,RISI triskys bolsa 115GR,1.07,9.30/Kg,
1383,"










					OLD EL PASO nachips bolsa 200 gr",2.39,11.95/Kg,
1384,OREO galleta original paquete 154 gr,1.19,7.73/Kg,
1385,DIA ALMAZARA DEL OLIVAR aceite de oliva virgen extra garrafa 5 lt,18.99,3.80/l,
1386,DIA ALMAZARA DEL OLIVAR aceite de oliva virgen extra botella 1 lt,3.95,3.95/l,
1387,DIA bífidus natural 0% M.G. pack 8 unidades 125 gr,1.29,1.29/Kg,
1388,DIA natillas con galleta pack 4 unidades 125 g,0.89,1.78/Kg,
1389,CARRETILLA espárragos blancos extra muy grueso 6/12 piezas frasco 325 gr,3.89,11.97/Kg,
1390,CUETARA bocaditos sabor limón paquete 150 gr ,1.00,6.67/Kg,
1391,"










					ORLANDO tomate frito envase 350 gr",0.69,1.97/Kg,
1392,DULCESOL bocaditos paquete 370 gr,1.49,4.03/Kg,
1393,ORLANDO tomate frito con aceite oliva envase 350 gr,1.09,3.11/Kg,
1394,"










					REINA natillas con galleta pack 4 unidades 125 g",1.05,2.10/Kg,
1395,DIA FIDIAS yogur al estilo griego con fresa pack 4 unidades 125 gr,1.29,2.58/Kg,
1396,"










					VALOR chocolate a la taza tableta 300 g",2.25,7.50/Kg,
1397,EL MOLINO DE DIA bocaditos al cacao bolsa 330 gr,1.09,3.30/Kg,
1398,ORBIT chicle grageas sabor menta fuerte paquete 5 uds,2.29,28.63/Kg,
1399,"










					LA PIARA paté tapa negra -50% grasa pack 2 latas 146 gr",2.87,19.66/Kg,
1400,ISABEL atún en aceite girasol pack 3 latas de 52 gr,2.29,14.68/Kg,
1401,DIA VEGECAMPO aceitunas verdes sin hueso pack 3 x 75 gr ,1.35,6.00/Kg,
1402,LU PRINCIPE mini galletas rellenas de chocolate pack 4 bolsitas paquete 160 gr,1.59,9.94/Kg,
1403,DIA MARI MARINERA mejillones en escabeche picante 14/18 piezas lata 69 gr,1.15,16.67/Kg,
1404,"










					Barra de pan picado andaluz 130 gr",0.32,2.46/Kg,
1405,EAGLE cacahuete frito con miel y sal bolsa 90 gr,1.59,17.67/Kg,
1406,"










					HORNIMANS infusión frutal frambuesa rooibos estuche 20 bolsitas",2.65,0.13/ud,
1407,MAGGI jugoso al horno hierbas provenzales sobre 34 gr,1.09,1.09/ud,
1408,CODAN mini conchas de chocolate paquete 180gr,1.19,6.61/Kg,
1409,SMINT pastillas de peppermint sin azúcar lata 35 gr,1.89,54.00/Kg,
1410,OLD EL PASO salsa mejicana frasco 200 gr ,1.99,10.47/Kg,
1411,OLD EL PASO salsa de queso frasco 200 gr ,1.99,9.95/Kg,
1412,SAFRINA azafrán en hebras 0.375 gr ,1.55,4 133.33/Kg,
1413,KELLOGGS cereales choco krave caja 375 gr,3.75,10.00/Kg,
1414,DIA VITAL postre soja chocolate pack 4 unidades 100 gr,1.25,3.13/Kg,
1415,"










					PASCUAL leche semidesnatada sin lactosa envase 1 lt",1.15,1.15/l,
1416,LUENGO alubia cocida frasco 400 gr ,0.99,2.47/Kg,
1417,DIA fabada asturiana lata 865 gr ,1.99,2.30/Kg,
1418,"










					BONKA café molido mezcla paquete 250 gr",2.49,9.96/Kg,
1419,BONKA café molido descafeinado paquete 250 gr,2.89,11.56/Kg,
1420,"










					BONKA café molido natural paquete 250 gr",2.49,9.96/Kg,
1421,DIA MARI MARINERA atún en tomate pack 3 latas de 52 gr,1.59,10.19/Kg,
1422,TOSCAF café natural en grano paquete 500 gr,5.09,10.18/Kg,
1423,TABASCO salsa picante BOTELLA 60 ML,2.69,44.83/l,
1424,"










					MILKA galletas chocowafer 180 grs",2.29,12.72/Kg,
1425,TOSFRIT apetinas ketchup bolsa 90GRS,1.07,11.89/Kg,
1426,DIA CAFETERÍA café molido mezcla natural paquete 2 x 250 gr ,2.89,5.78/Kg,
1427,DIA CAFETERÍA café en grano natural paquete 500 gr,3.99,7.98/Kg,
1428,LA ASTURIANA alubias pintas cocidas frasco 400 gr ,1.15,2.88/Kg,
1429,"










					DONUTS fondant estuche 4 uds 204 gr",2.19,10.74/Kg,
1430,"










					EL MOLINO DE DIA Barra de pan de picos 260 gr",0.55,2.12/Kg,
1431,ALBO atún claro en aceite de oliva pack 3 latas de 48 gr,4.39,22.86/Kg,
1432,"










					PULEVA leche omega 3 con nueces envase 1 lt",1.39,1.39/l,
1433,"










					VIVESOY bebida de soja ligera envase 1 lt",1.59,1.59/l,
1434,CODAN magdalenas 0% azucares añadidos bolsa 350 gr,2.39,6.83/Kg,
1435,DIA patatas fritas onduladas bolsa 150 gr,0.57,3.80/Kg,
1436,GALLINA BLANCA salsa chilindrón sobre 52 gr,1.39,26.73/Kg,
1437,LACASA chocolate con lacasitos tableta 100 gr,1.35,13.50/Kg,
1438,LACASITOS chocolate tubo pack 4 uds 80 gr ,2.19,27.38/Kg,
1439,DANONE DANACOL yogur líquido natural pack 12 unidades 100 g,6.19,5.16/Kg,
1440,DANONE DANACOL yogur líquido fresa pack 12 unidades 100 g,6.19,5.16/Kg,
1441,DANONE yogur fresa. macedonia. limón y galleta pack 8 unidades 120 gr,2.25,2.34/Kg,
1442,DR.OETKER gelatina en laminas sobre 12 laminas,1.99,99.50/Kg,
1443,DIA CAPRICHOSO flan de queso pack 4 unidades 100 gr,1.65,4.13/Kg,
1444,MENTOLIN caramelo sabor menta fresca bolsa 250 gr,1.89,7.56/Kg,
1445,NESTLE cereales fitness caja 450 gr,2.99,6.64/Kg,
1446,"










					BRIOCHE PASQUIER pan de leche bolsa 280 gr",2.15,7.68/Kg,
1447,ALBA bocaditos de pan sabor tomate y orégano bolsa 110 gr,1.15,10.45/Kg,
1448,"










					ARTIACH Marbú doradas 0% azúcares caja 400 gr",2.49,6.23/Kg,
1449,SERPIS aceitunas rellenas de anchoas lata 130 gr,1.55,11.92/Kg,
1450,DIA VEGECAMPO pepinillos agridulces frasco 360 gr ,1.45,4.03/Kg,
1451,LA PIARA paté de atún lata 2 x 75 gr,2.95,19.67/Kg,
1452,VEGEDIA bebida de soja light envase 1 lt,0.85,0.85/l,
1453,PRIMA ketchup clasico bote 600 gr,2.05,3.42/Kg,
1454,"










					MEICA salchichas cocidas bockwurst frasco 250 gr ",3.79,15.16/Kg,
1455,DIA LACTEA leche semidesnatada sin lactosa envase 1 lt,0.77,0.77/l,
1456,"










					GALLO harina de trigo paquete 1 Kg",0.99,0.99/Kg,
1457,KELLOGGS cereales choco krispies caja 450 gr,2.89,6.42/Kg,
1458,KELLOGGS cereales smacks caja 450 gr,3.19,7.09/Kg,
1459,"










					KELLOGGS cereales frosties caja 450 gr",3.19,7.09/Kg,
1460,"










					NESTLE cereales chocapic paquete 500 gr",2.99,5.98/Kg,
1461,"










					BORGES vinagre balsamico de modena botella 50 cl",3.45,6.90/l,
1462,"










					NESTLE bicompartidos KIT-KAT pack 2 x 115 gr",1.65,6.45/Kg,
1463,PRINGLES patatas fritas paprika tubo 165 gr,2.10,12.73/Kg,
1464,"










					DANONE ACTIMEL yogur líquido fresa pack 12 unidades 100 gr",5.19,4.33/Kg,
1465,DANONE ACTIVIA bífidus natural edulcorado 0% M.G pack 4 unidades 120 gr,1.99,4.15/Kg,
1466,DANONE DANET natillas vainilla pack 8 unidades 120 gr,3.35,3.49/Kg,
1467,LIGERESA salsa fina original frasco 225 ml ,1.29,5.73/l,
1468,"










					GALLO salsa boloñesa tarro 350 gr",1.95,5.57/Kg,
1469,"










					DANONE ACTIVIA bífidus de mango pack 4 unidades 120 gr",2.49,5.19/Kg,
1470,DANONE ACTIVIA bífidus de melocotón 0% M.G pack 4 unidades 120 gr,2.49,5.19/Kg,
1471,NESTLE SMARTIES bicompartidos envase 2 x 115 gr,1.65,6.45/Kg,
1472,KINDER huevos schokobons bolsa 125 gr,2.69,21.52/Kg,
1473,"










					GULLON galletas María ligera sin sal y sin azúcar caja 600 grs",2.85,4.75/Kg,
1474,GULLON zero galleta maría paquete 400 gr,2.25,5.63/Kg,
1475,DIA NATURMUNDO avellanas tostadas bolsa 200 gr,2.95,14.75/Kg,
1476,FRIT RAVICH dátiles bandeja 500 gr,2.95,5.90/Kg,
1477,ALPRO bebida de soja ligera envase 1 lt,1.59,1.59/l,
1478,"










					MAGGI pasta oriental yakisoba classic sobre 120 gr ",1.69,14.08/Kg,
1479,DIA sopa jardinera sobre 85 grs,0.45,6.00/Kg,
1480,DIA napolitana rellena de chocolate paquete 320 gr,1.15,3.59/Kg,
1481,"










					BIMBO pan de molde natural 100% bolsa 460 gr",1.89,4.11/Kg,
1482,"










					GIGANTE VERDE maiz clasico bipack LATA 280GR",1.89,6.75/Kg,
1483,"










					DIA yogur natural desnatado pack 6 unidades 125 g",0.79,1.05/Kg,
1484,DIA yogur natural desnatado edulcorado pack 6 unidades 125 g,0.79,1.05/Kg,
1485,DIA VEGECAMPO tomate frito pack 3 unidades 390 gr,0.95,0.81/Kg,
1486,DIA paté de hígado de cerdo tarro 200 gr ,0.89,4.45/Kg,
1487,"










					DIA CAPRICHOSO natillas sabor vainilla pack 6 unidades 125 gr",0.99,1.32/Kg,
1488,DIA CAPRICHOSO natillas sabor chocolate pack 6 unidades 125 gr,0.99,1.32/Kg,
1489,DIA MARI MARINERA sardinas en aceite de girasol pack 2 latas 82 gr,1.10,6.47/Kg,
1490,DIA MARI MARINERA sardinillas en aceite de girasol pack de 2 latas de 62 gr,1.15,8.85/Kg,
1491,DIA VEGECAMPO aceitunas verdes con hueso sabor anchoa frasco 500 gr ,2.45,4.90/Kg,
1492,DIA salsa césar botella 300 ml,1.25,4.17/l,
1493,DIA salsa carbonara frasco 260 gr,0.99,3.81/Kg,
1494,PULEVA Max crecimiento con cereales envase 1 lt,1.46,1.46/l,
1495,"










					DIA mojicón envasados individualmente bolsa 500 gr",1.95,3.90/Kg,
1496,DIA SNACK MANIAC palomitas sabor mantequilla caja 270 gr,1.35,5.00/Kg,
1497,DIA cocktail frutos secos bolsa 500 gr,2.05,4.10/Kg,
1498,SMINT pastillas de fresa sin azúcar lata 35 gr,1.89,54.00/Kg,
1499,DIA MIELOVE miel de flores antigoteo bote 500 gr ,3.55,7.10/Kg,
1500,GALLO hélices con tomate y espinacas paquete 450 gr,1.63,3.62/Kg,
1501,DIA barquillo surtidos  chocolate bolsa 400 gr,1.49,3.73/Kg,
1502,"










					CABO DE HORNOS navajas al natural lata 63 gr",2.39,37.94/Kg,
1503,FRAGATA aceituna manzanilla rellena de anchoa lata 150 gr,1.59,10.60/Kg,
1504,OREO galleta doble crema paquete 185 gr,1.69,9.14/Kg,
1505,"










					DIA mini biscotte paquete 350 gr",1.49,4.26/Kg,
1506,DIA VEGECAMPO judión cocido extra frasco 400 gr,1.25,3.13/Kg,
1507,DIA mermelada extra melocotón frasco 390 gr,1.05,2.69/Kg,
1508,DIA mermelada extra fresa frasco 390 gr,1.05,2.69/Kg,
1509,DIA FIDIAS yogur griego natural pack 6 unidades 125 gr,1.05,1.40/Kg,
1510,DIA FIDIAS yogur griego natural azucarado pack 6 unidades 125 gr,1.09,1.45/Kg,
1511,DIA FIDIAS yogur al estilo griego con fresas pack 6 unidades 125 gr,1.39,1.85/Kg,
1512,DIA maíz tostado gigante bolsa 200 gr,1.35,6.75/Kg,
1513,DIA cereales muesli con chocolate paquete 500 gr,1.99,3.98/Kg,
1514,DIA panecillos tostados con tomate y orégano paquete 160 gr,0.89,5.56/Kg,
1515,DIA panecillo ajo y perejil bolsa 160 gr,0.89,5.56/Kg,
1516,"










					INES ROSALES tortas de anís con aceite de oliva paquete 180 gr",1.39,7.72/Kg,
1517,M&M's con relleno de chocolate bolsa 200 gr,2.59,12.95/Kg,
1518,COSTA sal yodo+flúor paquete 1 Kg,0.69,0.69/Kg,
1519,COSTA sal plus+ paquete 1 Kg,0.99,0.99/Kg,
1520,ALBO bonito del norte en aceite de oliva lata 82 gr,2.99,36.46/Kg,
1521,ALBO sardinas picantonas lata 85 gr,1.99,23.41/Kg,
1522,DIA MARI MARINERA atún en aceite de girasol lata 650 gr,5.30,8.15/Kg,
1523,JOLCA aceituna rellena de anchoa suave lata 130 gr,1.45,11.15/Kg,
1524,NESTLE chocolate tres chocolates tableta 120 gr,1.65,13.75/Kg,
1525,"










					NESTLE chocolate extrafino dulce de leche tableta 120 gr",1.59,13.25/Kg,
1526,DIA MARI MARINERA zamburiñas en salsa vieira lata 63 gr,1.45,22.31/Kg,
1527,HALLS caramelo sabor eucalipto paquete 2 uds 64 gr,1.79,27.97/Kg,
1528,HALLS caramelo sabor miel-limón paquete 2 uds 67 gr,1.79,26.72/Kg,
1529,HALLS caramelo sabor cítricos vitamina C paquete 2 uds 64 gr,1.79,27.97/Kg,
1530,OLD EL PASO sazonador para fajitas sobre 30 gr ,1.19,39.67/Kg,
1531,DIA SUEÑOS postre gelificado de fresa. limón y multifrutas pack 6 unidades 100 gr,0.85,1.42/Kg,
1532,GALLO fideo Nº 4 paquete 450 gr,1.19,2.64/Kg,
1533,GALLO fideo Nº 1 paquete 450 gr,1.19,2.64/Kg,
1534,PRIMA mostaza americana bote 300 gr,1.39,4.21/Kg,
1535,KNORR crema de bogavante y cigalas envase 500 ml,2.99,5.98/l,
1536,MAILLE mostaza dijon original tarro 215 gr,2.65,12.33/Kg,
1537,VALOR chocolate con leche y almendra tableta 250 gr,3.00,12.00/Kg,
1538,DIA pasta estilo japonés bolsa 140 gr,0.95,6.79/Kg,
1539,DIA CAPRICHOSO copa de chocolate y nata pack 4 unidades 115 gr,0.85,1.85/Kg,
1540,GALLINA BLANCA Gourmet caldo de pollo de corral 100% natural envase 1 lt,2.89,2.89/l,
1541,"MARY LEE preparado para tortitas americanas estuche 156 gr
",1.49,9.55/Kg,
1542,DIA volantinas parmesana sobre 145 gr,0.99,6.83/Kg,
1543,CHIQUILIN  galletas ositos sabor choco caja 450 gr,3.35,7.44/Kg,
1544,VIVISIMA+ levadura cerveza envase 50 capsulas,3.95,0.08/ud,
1545,QUELY picos integrales bolsa 225 grs,0.85,3.78/Kg,
1546,ORLANDO tomate frito 0.0 sin sal ni azúcares envase 350 gr,1.19,3.40/Kg,
1547,VIVISIMA+ valeriana envase 50 capsulas,3.99,0.08/ud,
1548,VIVISIMA+ cola de caballo envase 50 capsulas,3.99,0.08/ud,
1549,ALBA bocaditos de pan sabor jamón y tomate bolsa 110 gr,0.99,9.00/Kg,
1550,LAY'S 3 D's bugles bolsa 22 gr,0.50,17.86/Kg,
1551,DORITOS tex-mex bolsa 40 gr ,0.50,12.50/Kg,
1552,CHEETOS pelotazos bolsa 36 gr,0.40,11.11/Kg,
1553,MATUTANO fritos sabor barbacoa bolsa 49 gr,0.50,10.20/Kg,
1554,DIA VITAL mermelada extra fresa diet frasco 330 gr,1.39,4.21/Kg,
1555,DIA mermelada extra de ciruela frasco 390 gr,1.09,2.79/Kg,
1556,DIA salsa brava botella 340 ml,0.95,2.88/Kg,
1557,DIA gofre recubierto de chocolate paquete 360 gr,2.05,5.69/Kg,
1558,DIA sazonador para fajitas sobre 30 gr,0.85,28.33/Kg,
1559,DIA galletas tradicionales artesanas caja 500 gr,1.25,2.50/Kg,
1560,"










					DANONE yogur natural pack 8 unidades 120 gr",2.19,2.19/Kg,
1561,DIA galleta digestive soja fruta caja 800 gr,2.09,2.61/Kg,
1562,DIA GALLETECA galletas digestive de avena paquete 425 gr,1.09,2.56/Kg,
1563,DIA salsa de yogur bote 285 gr,1.25,4.17/l,
1564,DIA VEGECAMPO cebollitas y pepinillos frasco 380 gr,1.59,4.18/Kg,
1565,DIA VEGECAMPO aceitunas negras sin hueso lata 150 gr,0.80,5.33/Kg,
1566,DIA VEGECAMPO aceitunas verdes sin hueso frasco 400 gr,1.65,4.13/Kg,
1567,DORITOS chili bolsa 140 gr ,1.69,12.07/Kg,
1568,"










					BRILLANTE arroz redondo sabroz paquete 1 Kg",1.76,1.76/Kg,
1569,ROYAL levadura en polvo caja 6 sobres de 16 gr ,2.19,22.81/Kg,
1570,"










					ROIG huevos frescos naturelle categoria A clase L estuche 10 uds",1.95,0.20/ud,
1571,ALBO atún claro en aceite de oliva virgen extra pack 3 latas de 48 gr,4.39,30.49/Kg,
1572,DIA cacahuetes recubiertos de chocolate bolsa 250 gr ,1.79,7.16/Kg,
1573,DIA cacahuetes con cobertura de chocolate bolsa 250 gr ,1.75,7.00/Kg,
1574,SAL DIA marina de mesa fina frasco 250 gr ,0.39,1.56/Kg,
1575,NESCAFE café soluble 3 en 1 estuche 10 sobres 180 gr,2.29,12.72/Kg,
1576,EL MOLINO DE DIA rosquillas de pan bolsa 250 gr,0.69,2.76/Kg,
1577,DIA pan de pipas bolsas 2 x 100 gr,1.39,6.95/Kg,
1578,DIA café expresso descafeinado 10 cápsulas caja 53 gr ,1.89,0.19/ud,
1579,DIA café expresso extra intenso 10 cápsulas caja 53 gr ,1.89,0.19/ud,
1580,DIA café expresso intenso 10 cápsulas caja 53 gr ,1.89,0.19/ud,
1581,DIA SNACK MANIAC pipas gigantes aguasal bolsa 200 gr,1.00,5.00/Kg,
1582,DIA VITAL mermelada extra melocotón diet frasco 330 gr,1.39,4.21/Kg,
1583,DIA GALLETECA galletas rellenas de chocolate pack 3 unidades 250 gr,1.49,1.99/Kg,
1584,"










					HORNIMANS infu sueños estuche 20 bolsitas",2.65,0.13/ud,
1585,HORNIMANS infudren estuche 20 bolsitas,2.65,0.13/ud,
1586,"










					HORNIMANS té silueta estuche 20 bolsitas ",2.65,0.13/ud,
1587,"










					LIGERESA salsa top down bote 430 ml",1.70,3.95/l,
1588,CUETARA Tosta rica bizcochitos rellenos caja 125 gr,2.09,16.72/Kg,
1589,LACASITOS bolsa 190 gr,2.59,13.63/Kg,
1590,LACASA conguitos chocolate y cacahuetes bolsa 220 gr,2.49,11.32/Kg,
1591,"










					NESTLE cereales lion caramelo y chocolate caja 400 gr ",2.89,7.23/Kg,
1592,KINDER Bueno white chocolate blanco pack 3 unidades 117 gr,2.39,20.43/Kg,
1593,"










					ARLUY mini galletas con sabor a chocolate paquete 500 gr",3.19,6.38/Kg,
1594,WASA VITALITE pan avena paquete 280 grs,2.45,8.75/Kg,
1595,CUETARA Tosta rica oceanix galletas con pepitas de chocolate caja 480 gr,3.55,7.40/Kg,
1596,                                      DIA galletas mini cookies caja 160 gr   1.25€      ,,,
1597,                                      DIA mini galletas rellenas de chocolate chops choc caja 160 gr   1.05€      ,,,
1598,                                      DIA galletas tradicionales artesanas caja 500 gr   1.25€      ,,,
1599,DIA LACTEA nata para montar pack 3 unidades 200 ml,1.49,2.48/l,
1600,DIA LACTEA nata líquida para cocinar 18% M.G. pack 3 unidades 200 ml,1.35,2.25/l,
1601,DIA VEGECAMPO garbanzos con verduras frasco 400 gr,0.95,2.38/Kg,
1602,DIA MARI MARINERA mejillón al natural 14/18 piezas lata 69 gr,1.15,16.67/Kg,
1603,ASTURIANA nata para  montar envase 1lt,3.75,3.75/l,
1604,VIVISIMA+ cabello uñas piel envase 50 capsulas,3.95,0.08/ud,
1605,VIVISIMA+ chitosan envase 50 capsulas,3.95,0.08/ud,
1606,DIA yogur panache desnatado fresa/limón/piña pack 6 unidades 125 g,0.89,1.19/Kg,
1607,MILKA cake & choc paquete 175 gr ,2.29,13.09/Kg,
1608,"










					CAPITAN MANI crema de cacahuete bote 340 grs",3.29,9.68/Kg,
1609,EL MOLINO DE DIA pan de leche bolsa 420 gr,1.55,3.69/Kg,
1610,"










					CUETARA galletas de desayuno napolitanas con canela paquete 500 grs",2.19,4.38/Kg,
1611,CUETARA TostaRica Choco Guay galletas rellenas de chocolate y crema caja 168 gr ,1.89,11.25/Kg,
1612,VIVISIMA+ jalea real envase 12 viales,4.89,0.41/ud,
1613,DULCESOL dolcesoles azúcar paquete 4 uds,1.09,6.06/Kg,
1614,EXITO corazon alcacho 8/10 LATA 240GR,2.49,10.38/Kg,
1615,FACUN pipas tostadas sin sal bolsa 100 gr,1.39,13.90/Kg,
1616,JOLCA aceituna rellena de anchoa lata 130 gr,1.35,10.38/Kg,
1617,DIA torreznos bolsa 120 gr,1.45,12.08/Kg,
1618,DULCESOL dolcesoles cacao paquete 4 uds,1.15,6.39/Kg,
1619,DIA noodles sabor pollo bolsa bolsa 85 gr,0.59,6.94/Kg,
1620,POTE azafrán en hebras caja 4 sobres,2.89,7 225.00/Kg,
1621,POTE azafrán molido caja 4 sobres,2.79,6 975.00/Kg,
1622,ALBO calamares en su tinta lata 72 gr,2.45,34.03/Kg,
1623,TRUVÍA endulzante de stevia 0 calorías caja 40 sobres,2.25,56.25/Kg,
1624,DR.OETKER colorantes alimentarios 4 colores caja 40 gr,2.99,74.75/Kg,
1625,ORLANDO tomate frito envase 780 gr,1.29,1.65/Kg,
1626,"










					CUETARA tosta rica galleta caja 570 gr",1.95,3.42/Kg,
1627,VIVISIMA+ colageno envase 50 capsulas,3.95,0.08/ud,
1628,"










					VALOR chocolate puro almendras s/azucar tableta 150 gr",2.89,19.27/Kg,
1629,"










					VALOR chocolate negro 70% cacao s/azucar tableta 125 gr",1.99,15.92/Kg,
1630,DIA mermelada extra de albaricoque frasco 390 gr,1.09,2.79/Kg,
1631,FRIT RAVICH  mix frutos secos bolsa 380 gr,2.59,6.82/Kg,
