,producto,precio,precio/kg,none
69,SUCHARD turrón de chocolate con almendras enteras estuche 260 gr ,3.49,13.42/Kg,
70,SUCHARD turrón de chocolate oreo blanco estuche 260 gr,3.49,13.42/Kg,
71,SUCHARD turrón de chocolate con oreo estuche 260 gr,3.49,13.42/Kg,
72,RIEGELEIN figura de chocolate con leche Reyes Magos 1 ud 60 gr  (modelo aleatorio),1.00,16.67/Kg,
73,SUCHARD turrón de chocolate con chips ahoy estuche 260 gr ,3.49,13.42/Kg,
74,DIA DULCE NOEL pastas surtidas lata 400 gr (modelo aleatorio),4.49,11.23/Kg,
75,"










					LA HORNADA DIA pandoro con chocolate bolsa 750 gr",3.99,5.32/Kg,
76,DIA DULCE NOEL selección de especialidades bandeja 700 gr ,4.79,6.84/Kg,
77,MIDEL bastón navidad de caramelo 40 gr ,1.00,25.00/Kg,
78,"










					LA HORNADA DIA panettone de chocolate bolsa 900 gr",3.99,4.43/Kg,
79,"










					EL MOLINO DE DIA empanada de carne 550 gr",3.10,5.64/Kg,
80,"










					EL MOLINO DE DIA empanada de atún 550 gr",3.10,5.64/Kg,
81,Ensalada mixta bandeja 400 gr ,1.85,4.63/Kg,
82,DIA AL PUNTO pizza de pollo envase 410 gr,2.25,5.49/Kg,
83,Crema de calabaza tarrina 500 ml ,2.05,4.10/l,
84,"










					Crema de verduras tarrina 500 ml ",2.05,4.10/l,
85,"










					VALDETERRA migas con chorizo envase 275 gr",1.69,6.15/Kg,
86,"CAMPOFRÍO pizza jamón y queso con salsa cheddar envase 360 gr
",2.39,6.64/Kg,
87,DIA AL PUNTO mini tortilla de patatas con cebolla envase 220 gr,1.05,4.77/Kg,
88,EL MOLINO DE DIA empanada de pollo 120 gr,0.65,5.42/Kg,
89,"










					Pimientos asados a la leña en tiras bandeja 350 gr ",2.35,6.71/Kg,
90,"










					EL MOLINO DE DIA empanada de bacalao 550 gr ",3.30,6.00/Kg,
91,CARRETILLA ternera a la jardinera bandeja 300 gr,3.25,10.83/Kg,
92,"










					PALACIOS hamburguesa con queso pack 2 unidades 125 gr ",2.35,9.40/Kg,
93,EL MOLINO DE DIA empanada de pollo 550 gr,3.10,5.64/Kg,
94,"










					PIERRE MARTINET hummus clásico tarrina 200 gr ",1.69,8.45/Kg,
95,"










					LA BROCHE Fun roll carne barbacoa con bacon bandeja 260 gr",1.85,7.12/Kg,
96,DIQUESI ensalada lorena con queso de cabra y mostaza con miel tarrina 145 gr,2.89,19.93/Kg,
97,DIA AL PUNTO salmorejo envase 1 lt,1.65,1.65/l,
98,"










					PALACIOS tortilla de patatas con cebolla envase 650 gr ",3.69,5.68/Kg,
99,"










					PALACIOS tortilla de patatas con espinacas envase 300 gr",2.05,6.83/Kg,
100,"










					TA TUNG fideos yakisoba con pollo bandeja 300 gr",3.25,10.83/Kg,
101,"










					DIA AL PUNTO gazpacho suave envase 1 lt",1.29,1.29/l,
102,"










					DIQUESI hamburguesas veganas de calabacín y quinoa bandeja 200 gr",2.65,13.25/Kg,
103,"










					AGUINAMAR mejillones en su jugo envase 500 gr",4.09,8.18/Kg,
104,"










					AGUINAMAR mejillones en salsa de tomate envase 500 gr",4.09,8.18/Kg,
105,GIRALDO bacalao al pil pil bandeja 300 gr,4.09,13.63/Kg,
106,"










					CAMPOFRÍO Vegalia pizza vegetariana envase 360 gr",2.59,7.19/Kg,
107,FLORETTE ensalada cesar light con pollo y queso tarrina 205 gr,2.85,13.90/Kg,
108,DIA AL PUNTO tortilla de patatas fresca sin cebolla envase 600 gr,1.85,3.08/Kg,
109,"










					DIA AL PUNTO tortilla de patatas fresca con cebolla envase 600 gr",1.85,3.08/Kg,
110,DIA AL PUNTO pechuga de pollo asada con arroz bandeja 300 gr,2.85,9.50/Kg,
111,DIA AL PUNTO pollo asado entero bandeja 900 gr,5.09,5.66/Kg,
112,DIA AL PUNTO muslo de pollo asado al limón con patatas bandeja 300 gr,3.05,10.17/Kg,
113,"










					DIA AL PUNTO pizza barbacoa envase 420 gr",2.35,5.60/Kg,
114,DIA AL PUNTO tallarines a la carbonara bandeja 250 gr,2.05,8.20/Kg,
115,DIA AL PUNTO macarrones con chorizo bandeja 250 gr,2.05,8.20/Kg,
116,DIA AL PUNTO paella mixta bandeja 320 gr,3.09,9.66/Kg,
117,DIA AL PUNTO arroz tres delicias bandeja 320 gr,2.39,7.47/Kg,
118,DIA AL PUNTO ensaladilla rusa bandeja 300 gr,2.55,8.50/Kg,
119,"










					DIA AL PUNTO gyozas de pollo y verduras al teppanyaki bandeja 8 uds 150 gr",2.39,17.07/Kg,
120,DIA AL PUNTO tortilla de patatas fresca con chorizo envase 600 gr,2.85,4.75/Kg,
121,DIA AL PUNTO canelones de marisco bandeja 560 gr,2.99,5.34/Kg,
122,DIA AL PUNTO lasaña boloñesa gratinada bandeja 350 gr,2.45,7.00/Kg,
123,"










					DIA AL PUNTO hamburguesa con bacon envase 220 gr",2.59,11.77/Kg,
124,DIA AL PUNTO hamburguesa con queso envase 220 gr,2.59,11.77/Kg,
125,FLORETTE ensalada cesar American style tarrina 200 gr,2.99,14.95/Kg,
126,DIA MARI MARINERA pata de pulpo cocido envase 250 gr,8.89,35.56/Kg,
127,DIA AL PUNTO pastel de atún bandeja 260 gr,2.85,10.96/Kg,
128,DIA VEGECAMPO ensalada César tarrina 210 gr,2.05,9.76/Kg,
129,DIA AL PUNTO croquetas de jamón bandeja 162 gr,2.05,12.65/Kg,
130,PAMPLONICA callos gourmet con chorizo y pimiento caja 380 gr,3.99,10.50/Kg,
131,PAMPLONICA magro con tomate caja 380 gr,3.99,10.50/Kg,
132,AGUINAMAR pintxo donostiarra envase 130 gr,2.19,16.85/Kg,
