,producto,precio,cantidad,medida
96,Sazonador barbacoa Hacendado,1.4,0.098,kg
97,Sazonador al horno y microondas pescado a las finas hierbas Hacendado,0.95,0.056,kg
98,Sazonador pescado Hacendado,1.4,0.095,kg
99,Mayonesa Hacendado,1.0,0.5,L
100,Mayonesa Hacendado,0.7,0.225,L
101,Mayonesa Hacendado,1.1,0.46,L
102,Mayonesa en sobres individuales Hacendado,1.0,0.24,L
103,Mayonesa Hellmann's,1.99,0.475,L
104,Mayonesa Hellmann's,1.25,0.225,L
105,Salsa ligera Ligeresa,1.99,0.475,L
106,Salsa ligera Ligeresa,1.0,0.225,L
107,Salsa ligera Ligeresa,1.7,0.43,L
108,Mayonesa Ybarra,1.6,0.5,L
109,Salsa fina Kraft,1.15,0.43,L
110,Mayonesa Musa,1.65,0.54,L
111,Salsa ligera Hacendado,1.0,0.5,L
112,Salsa ligera Hacendado,0.7,0.225,L
113,Salsa ligera Hacendado,1.1,0.46,L
114,Ketchup Hacendado,0.8,0.6,kg
115,Ketchup en sobres individuales Hacendado,0.9,0.24,kg
116,Ketchup Heinz,2.35,0.57,kg
117,Ketchup tomato Develey,1.35,0.45,kg
118,Ketchup light Hacendado,1.0,0.6,kg
119,Mostaza dulce Hacendado,0.8,0.33,kg
120,Mostaza Hacendado,0.68,0.33,kg
121,Mostaza a la antigua Hacendado,0.9,0.2,kg
122,Mostaza de Dijon Hacendado,0.9,0.2,kg
123,Allioli Chovi,1.09,0.18,L
124,Allioli Chovi,0.44,0.063,L
125,Allioli Hacendado,0.7,0.2,L
126,Allioli en sobres individuales Hacendado,1.2,0.16,L
127,Tomate frito Hacendado,0.9,1.2,kg
128,Tomate frito Hacendado,0.8,0.63,kg
129,Tomate frito Hacendado,0.68,0.56,kg
130,Tomate frito receta artesana Hacendado,1.7,0.56,kg
131,Tomate frito receta artesana Hacendado,1.28,0.3,kg
132,Tomate frito Hida,1.18,0.4,kg
133,Tomate frito estilo casero Hacendado,0.93,0.38,kg
134,Tomate frito Hacendado con aceite de oliva,0.85,0.63,kg
135,Tomate frito sin azucares anadidos Hacendado,0.94,0.56,kg
136,Tomate frito con cebolla Hacendado,1.05,0.38,kg
137,Salsa barbacoa Hacendado,1.0,0.35,kg
138,Salsa pimienta verde Hacendado,0.75,0.05,kg
139,Salsa burger Hacendado,1.25,0.25,L
140,Salsa barbacoa dulce y picante Hacendado,1.25,0.25,L
141,Salsa estilo argentino Hacendado,1.2,0.285,kg
142,Salsa chimichurri Hacendado,1.25,0.25,L
143,Salsa Piri Piri Hacendado,1.0,0.195,L
144,Salsa fresca Roquefort Hacendado,1.3,0.13,kg
145,Salsa pesto alla genovese Hacendado,1.5,0.2,kg
146,Salsa bolonesa Hacendado,0.95,0.3,kg
147,Salsa de tomate. albahaca y oregano Hacendado,0.95,0.3,kg
148,Salsa fresca Trufa Hacendado,1.3,0.14,kg
149,Salsa fresca Queso Hacendado,1.2,0.18,kg
150,Salsa fresca Pesto Hacendado,1.2,0.15,kg
151,Salsa fresca Setas Hacendado,1.2,0.2,kg
152,Salsa fresca Carbonara Hacendado,1.2,0.2,kg
153,Salsa napolitana Hacendado,0.95,0.3,kg
154,Salsa pesto rosso Hacendado,1.25,0.2,kg
155,Salsa de soja Hacendado,1.35,0.25,L
156,Salsa teriyaki Hacendado,1.5,0.25,L
157,Salsa de soja dulce Hacendado,1.35,0.25,L
158,Salsa agridulce Hacendado,1.0,0.35,kg
159,Salsa thai chili dulce J-Lek,1.0,0.235,L
160,Salsa de soja sin gluten Hacendado,2.4,0.25,L
161,Salsa de ostras Hacendado,1.8,0.255,kg
162,Guacamole Hacendado,3.29,0.5,kg
163,Guacamole Hacendado,1.59,0.2,kg
164,Bechamel Hacendado,1.55,0.6,L
