,producto,precio,cantidad,medida,cantidad_,categoria,supermercado
70,DIA AL PUNTO pizza de poLLo envase 410 gr,2.25,0.41,kg,0.41,pizza,dia
74,"CAMPOFRÃÂÃÂO pizza jamon y queso con saLsa cheddar envase 360 gr
",2.39,0.36,kg,0.36,pizza,dia
76,EL MOLINO DE DIA empanada de poLLo 120 gr,0.65,0.12,kg,0.12,empanada,dia
78,EL MOLINO DE DIA empanada de bacaLao 550 gr ,3.3,0.55,kg,0.55,empanada,dia
81,EL MOLINO DE DIA empanada de poLLo 550 gr,3.1,0.55,kg,0.55,empanada,dia
83,DIA aLbondigas con tomate tarrina 200 gr ,2.85,0.25,kg,0.25,albondigas,dia
85,DIQUESI ensaLada Lorena con queso de cabra y mostaza con mieL tarrina 145 gr,2.89,0.145,kg,0.145,ensalada,dia
86,DIA AL PUNTO saLmorejo envase 1 Lt,1.65,1.0,L,1.0,salmorejo,dia
88,GARDEN GOURMET hamburguesas vegetarianas bandeja 180 gr,3.59,0.18,kg,0.18,hamburguesa de vegetariana,dia
90,TA TUNG fideos yakisoba con poLLo bandeja 300 gr,3.25,0.3,kg,0.3,fideos,dia
91,DIA AL PUNTO gazpacho suave envase 1 Lt,1.29,1.0,L,1.0,gazpacho,dia
92,DIQUESI hamburguesas veganas de caLabacin y quinoa bandeja 200 gr,2.65,0.2,kg,0.2,quinoa,dia
94,AGUINAMAR mejiLLones en saLsa de tomate envase 500 gr,4.09,0.5,kg,0.5,salsa,dia
95,CAMPOFRÃÂÃÂO VegaLia pizza vegetariana envase 360 gr,2.59,0.36,kg,0.36,pizza,dia
96,FLORETTE ensaLada cesar Light con poLLo y queso tarrina 205 gr,2.85,0.205,kg,0.205,ensalada,dia
97,DIA AL PUNTO tortiLLa de patatas fresca sin ceboLLa envase 600 gr,1.85,0.601,kg,0.601,cebolla,dia
99,DIA AL PUNTO pechuga de poLLo asada con arroz bandeja 300 gr,2.85,0.3,kg,0.3,arroz,dia
101,DIA AL PUNTO musLo de poLLo asado aL Limon con patatas bandeja 300 gr,3.05,0.3,kg,0.3,muslo de pollo,dia
102,DIA AL PUNTO pizza barbacoa envase 420 gr,2.35,0.425,kg,0.425,pizza,dia
103,DIA AL PUNTO taLLarines a La carbonara bandeja 250 gr,2.05,0.25,kg,0.25,espaguetis,dia
104,DIA AL PUNTO macarrones con chorizo bandeja 250 gr,2.05,0.25,kg,0.25,macarrones,dia
106,DIA AL PUNTO arroz tres deLicias bandeja 320 gr,2.39,0.32,kg,0.32,arroz,dia
110,DIA AL PUNTO Lasana boLonesa gratinada bandeja 350 gr,2.45,0.35,kg,0.35,lasana preparada,dia
113,FLORETTE ensaLada cesar American styLe tarrina 200 gr,2.99,0.2,kg,0.2,ensalada,dia
117,DIA VEGECAMPO ensaLada Cesar tarrina 210 gr,2.05,0.21,kg,0.21,ensalada,dia
118,DIA VEGECAMPO ensaLada BrookLyn con bacon tarrina 192 gr,2.25,0.192,kg,0.192,ensalada,dia
119,DIA AL PUNTO croquetas de jamon bandeja 162 gr,2.05,0.162,kg,0.162,croquetas,dia
