,producto,precio,cantidad,medida,categoria,supermercado
977,Turron de chocolate crujiente Hacendado,1.05,0.25,kg,turron,mercadona
978,Turron de chocolate Suchard,3.3,0.26,kg,turron,mercadona
979,Turron blando Hacendado,2.0,0.25,kg,turron,mercadona
980,Turron de yema tostada Hacendado,1.9,0.25,kg,turron,mercadona
981,Turron duro Hacendado,2.0,0.5,kg,turron,mercadona
982,Turron de chocolate y cacahuete frito con miel Hacendado,1.0,0.25,kg,turron,mercadona
983,Turron de chocolate con almendras Hacendado,1.9,0.25,kg,turron,mercadona
984,Turron chocodiskitos Hacendado,1.15,0.15,kg,turron,mercadona
985,Turron de chocolate negro crujiente Hacendado,1.6,0.25,kg,turron,mercadona
986,Turron de Jijona Antiu Xixona,3.6,0.25,kg,turron,mercadona
987,Turron crema catalana Hacendado,1.65,0.15,kg,turron,mercadona
988,Turron praline 3 chocolates Hacendado,1.45,0.15,kg,turron,mercadona
989,Turron de cacahuete blando Hacendado,1.5,0.25,kg,turron,mercadona
990,Turron de yogur con arandanos y fresa Hacendado,1.45,0.15,kg,turron,mercadona
991,Turron de coco Hacendado,1.35,0.2,kg,turron,mercadona
992,Turron de fruta Hacendado,2.0,0.25,kg,turron,mercadona
993,Turron de yema tostada Antiu Xixona,3.0,0.25,kg,turron,mercadona
994,Turron de Alicante Antiu Xixona,3.3,0.175,kg,turron,mercadona
995,Turron de guirlache Hacendado,2.0,0.15,kg,turron,mercadona
996,Turron de chocolate con almendras Hacendado 0% sin azucares anadidos,1.8,0.15,kg,turron,mercadona
997,Turron cafe Hacendado,1.45,0.15,kg,turron,mercadona
998,Turron natillas con galleta Hacendado,1.45,0.15,kg,turron,mercadona
999,Turron imperial con almendras Hacendado 0% sin azucares anadidos,2.6,0.2,kg,turron,mercadona
1000,Turron blando crema de almendras Hacendado 0% sin azucares anadidos,2.6,0.2,kg,almendras,mercadona
1001,Turron de chocolate blanco con limon Hacendado,1.45,0.15,kg,turron,mercadona
1002,Pasta de almendra Hacendado,1.75,0.1,kg,almendras,mercadona
1003,Turron de chocolate negro 72% Hacendado con almendras,2.05,0.25,kg,turron,mercadona
1004,Turron de cacahuete duro Hacendado,1.5,0.25,kg,turron,mercadona
1005,Turron guirlache de Aragon La Casa,5.49,0.24,kg,turron,mercadona
1006,Turron duro en porciones Hacendado calidad suprema,2.75,1.7,kg,turron,mercadona
1007,Porciones de turron de yema tostada Hacendado,2.5,1.6,kg,turron,mercadona
1008,Porciones de turron de chocolate crujiente Hacendado,1.95,1.7,kg,turron,mercadona
1009,Surtido de mini turrones Hacendado,3.95,4.665,kg,turron,mercadona
1010,Papilla crema de bechamel con lenguado Hero baby +8 meses,1.15,0.235,kg,papilla,mercadona
1011,Papilla verduritas con merluza Hero baby +8 meses,1.15,0.235,kg,papilla,mercadona
1012,Papilla verduritas con pollo y ternera Hero baby +6 meses,1.15,0.235,kg,papilla,mercadona
1013,Papilla arroz con pollo Hero baby natur +6 meses,1.15,0.235,kg,arroz,mercadona
1014,Papilla verduritas con pollo Hero baby buenas noches +6 meses,1.95,0.38,kg,papilla,mercadona
1015,Papilla verduritas con pescadilla a la crema Hero baby buenas noches +8 meses,1.95,0.38,kg,papilla,mercadona
1016,Papilla verduritas con delicias de pavo Hero baby natur +6 meses,1.15,0.235,kg,papilla,mercadona
1017,Papilla menestra de verduras con ternera y jamon Hero baby +6 meses,1.15,0.235,kg,papilla,mercadona
1018,Papilla zanahorias baby con ternera Hero baby +6 meses,1.15,0.235,kg,papilla,mercadona
1019,Papilla crema de verduras con rape Hero baby buenas noches +8 meses,2.35,0.38,kg,papilla,mercadona
1020,Papilla zanahorias con arroz en caldito de pollo Hero baby +6 meses,1.15,0.235,kg,arroz,mercadona
1021,Papilla lentejas con verduritas Hero baby recetas caseras +8 meses,1.95,0.38,kg,lentejas,mercadona
1022,Papilla menestra de cordero a la crema Hero baby recetas caseras +6 meses,1.95,0.38,kg,papilla,mercadona
1023,Papilla espaguetis con carne y verduritas Hero baby +12 meses sin triturar,2.3,0.5,kg,papilla,mercadona
1024,Papilla fresa y platano +8 meses Hacendado,0.7,0.12,kg,papilla,mercadona
1025,Papilla fruta variada +6 meses Hacendado,0.7,0.12,kg,papilla,mercadona
1026,Papilla fruta variada +4 meses Hacendado,1.85,0.52,kg,papilla,mercadona
1027,Papilla platano. naranja y galleta +6 meses Hacendado,1.95,0.52,kg,papilla,mercadona
1028,Papilla manzana y platano +6 meses Hacendado,0.7,0.12,kg,papilla,mercadona
1029,Papilla cuatro frutas con avena +8 meses Hacendado,2.15,0.52,kg,papilla,mercadona
1030,Papilla cuatro frutas con yogur +8 meses Hacendado,2.15,0.52,kg,papilla,mercadona
1031,Papilla cinco frutas especial fibra +4 meses Hacendado,2.0,0.52,kg,papilla,mercadona
1032,Papilla coctel tropical +8 meses Hacendado,1.85,0.52,kg,papilla,mercadona
1033,Papilla duo de frutas +4 meses Hacendado,1.0,0.26,kg,papilla,mercadona
1034,Papilla pera y manzana +4 meses Hacendado,1.95,0.52,kg,papilla,mercadona
1035,Papilla manzana y mango +6 meses Hacendado,0.75,0.12,kg,papilla,mercadona
1036,Papilla platano. fresa. arandanos y avena +8 meses Hacendado,0.75,0.12,kg,papilla,mercadona
1041,Yogur liquido infantil con cereales y miel Go-Lacteo +8 meses,2.2,1.44,kg,cereales,mercadona
1042,Postre lacteo infantil de platano Yogolino +6 meses,2.05,0.4,kg,platano,mercadona
1046,Preparado lacteo crecimiento sabor a cereales Junior Nestle,1.5,1.0,L,leche para bebes,mercadona
1047,Preparado lacteo crecimiento Peques 3 Puleva,8.7,6.0,L,leche para bebes,mercadona
1048,Preparado lacteo crecimiento Peques 3 Puleva,1.45,1.0,L,leche para bebes,mercadona
1049,Preparado lacteo con cereales crecimiento Peques 3 Puleva,8.7,6.0,L,leche para bebes,mercadona
1050,Preparado lacteo con cereales crecimiento Peques 3 Puleva,1.45,1.0,L,leche para bebes,mercadona
1051,Preparado lacteo crecimiento +1 ano Hacendado,6.0,6.0,L,leche para bebes,mercadona
1052,Preparado lacteo crecimiento +1 ano Hacendado,1.0,1.0,L,leche para bebes,mercadona
1053,Preparado lacteo crecimiento +1 ano Hacendado,1.55,1.2,L,leche para bebes,mercadona
1054,Preparado lacteo cereales al cacao Peques 3 Puleva,1.41,0.6,L,leche para bebes,mercadona
1055,Preparado lacteo con cacao y cereales crecimiento Hacendado +1 ano,1.75,1.2,L,leche para bebes,mercadona
1056,Preparado lacteo crecimiento Junior Nestle,1.5,1.0,L,leche para bebes,mercadona
1057,Preparado lacteo con cereales crecimiento Hacendado +1 ano,6.6,6.0,L,leche para bebes,mercadona
1058,Preparado lacteo con cereales crecimiento Hacendado +1 ano,1.1,1.0,L,leche para bebes,mercadona
1059,Leche de continuacion Peques 2 Puleva,8.7,6.0,L,leche para bebes,mercadona
1060,Leche de continuacion Peques 2 Puleva,1.45,1.0,L,leche para bebes,mercadona
1061,Leche para lactantes en polvo 1 Nativa Nestle,9.4,0.8,kg,leche para bebes,mercadona
1062,Leche de continuacion en polvo 2 Nativa Nestle,7.6,0.8,kg,leche para bebes,mercadona
1063,Leche para lactantes en polvo 1 Nidina Nestle,13.7,0.8,kg,leche para bebes,mercadona
1064,Leche de continuacion en polvo 2 Nidina Nestle,12.8,0.8,kg,leche para bebes,mercadona
1065,Leche crecimiento en polvo 3 Nidina Nestle,12.8,0.8,kg,leche para bebes,mercadona
1066,Leche para lactantes en polvo 1 Hero baby,8.85,0.8,kg,leche para bebes,mercadona
1067,Leche de continuacion en polvo 2 Hero baby,7.45,0.8,kg,leche para bebes,mercadona
1068,Leche crecimiento en polvo 3 Hero baby,8.95,0.8,kg,leche para bebes,mercadona
1069,Papilla liquida leche y cereales con galleta maria Nestle +6 meses,2.0,0.5,L,papilla,mercadona
1070,Papilla instantanea 8 cereales Nestle +6 meses,3.8,0.66,kg,papilla,mercadona
1071,Papilla instantanea 8 cereales con galleta Maria Nestle +6 meses,3.45,0.6,kg,papilla,mercadona
1072,Papilla liquida leche y cereales con miel Nestle Pijama +6 meses,2.0,0.5,L,papilla,mercadona
1073,Papilla instantanea 8 cereales con miel Nestle +6 meses,3.7,0.66,kg,papilla,mercadona
1074,Papilla liquida leche y cereales Nestle Pijama +6 meses,2.0,0.5,L,papilla,mercadona
1075,Papilla 8 cereales con miel Hero baby +6 meses,2.71,0.41,kg,papilla,mercadona
1076,Papilla instantanea 8 cereales con cacao Nestle +12 meses,3.45,0.6,kg,papilla,mercadona
1077,Papilla instantanea 8 cereales. platano. naranja y galleta Nestle +6 meses,3.8,0.66,kg,papilla,mercadona
1078,Papilla 8 cereales Hero baby +6 meses,2.71,0.41,kg,papilla,mercadona
1079,Papilla liquida leche y cereales multifrutas Nestle +6 meses,2.0,0.5,L,papilla,mercadona
1080,Papilla sin gluten crema de arroz Hero baby +4 meses,1.99,0.22,kg,arroz,mercadona
1081,Papilla instantanea maiz y arroz sin gluten Nestle +4 meses,2.09,0.24,kg,arroz,mercadona
1082,Papilla 8 cereales con galleta Hero baby +6 meses,2.99,0.34,kg,papilla,mercadona
1083,Papilla liquida leche y cereales sin gluten Nestle +6 meses,2.0,0.5,L,papilla,mercadona
1084,Papilla 8 cereales fruta Hero baby +6 meses,3.0,0.34,kg,papilla,mercadona
1085,Biberon 150 ml tetina latex flujo lento +0 meses Deliplus,3.0,1.0,ud,biberon,mercadona
1086,Biberon 150 ml tetina silicona flujo lento +0 meses Deliplus,3.0,1.0,ud,biberon,mercadona
1087,Biberon 270 ml tetina latex tres posiciones +1 mes Deliplus,3.2,1.0,ud,biberon,mercadona
1088,Biberon 270 ml tetina silicona tres posiciones +1 mes Deliplus,3.2,1.0,ud,biberon,mercadona
1089,Biberon 360 ml tetina latex tres posiciones +1 mes Deliplus,3.5,1.0,ud,biberon,mercadona
1090,Biberon 360 ml tetina silicona tres posiciones +1 mes Deliplus,3.5,1.0,ud,biberon,mercadona
