,producto,precio,cantidad,medida,categoria,supermercado
0,DIA EL CENCERRO queso semicurado cortado cuna 250 gr,2.69,0.25,kg,queso,dia
1,DIA EL CENCERRO queso semicurado cuna 300 gr,2.35,0.3,kg,queso,dia
3,MILKA chocolate con leche tableta 270 gr,1.99,0.27,kg,chocolate con leche,dia
4,DANONE DANET natillas vainilla pack 4 unidades 120 gr,2.15,0.48,kg,vainilla,dia
6,MILKA chocolate relleno de caramelo y avellanas tableta 300 gr,2.99,0.3,kg,avellanas,dia
8,DANONE OIKOS yogur griego natural pack 4 unidades 110 gr,2.25,0.44,kg,yogur griego,dia
9,DANONE OIKOS yogur griego natural azucarado pack 4 unidades 110 gr,2.25,0.44,kg,yogur griego,dia
15,DANONE OIKOS yogur griego con caramelo pack 2 unidades 110 gr,1.45,0.22,kg,yogur griego,dia
16,DANONE arroz con leche pack 2 unidades 130 gr ,1.35,0.26,kg,arroz,dia
17,DANONE flan de queso pack 4 unidades 100 gr ,2.39,0.4,kg,queso,dia
19,TWIX mini barritas rellenas de caramelo con chocolate con leche bolsa 130 gr ,1.59,0.13,kg,chocolatinas,dia
21,MILKA chocolate relleno de caramelo y cacahuetes tableta 276 gr ,3.09,0.276,kg,caramelos,dia
22,MARS mini chocolatinas bolsa 130 gr ,1.59,0.13,kg,chocolatinas,dia
23,DANONE OIKOS yogur griego tarta de arandanos pack 2 unidades 110 gr ,1.45,0.22,kg,tarta,dia
24,DANONE OIKOS yogur griego stracciatella pack 4 unidades 110 gr,2.45,0.44,kg,yogur griego,dia
